Dupe 1,Dupe 2
394055,394147
394054,394146
394053,394145
394052,394144
394051,394143
394050,394142
394049,394141
394048,394140
394047,394139
392033,394064
390921,394061
394021,394022
394002,394018
393967,394016
393966,394014
393965,394013
393964,394012
393963,394011
393962,394008
393961,394007
393960,394006
393958,394005
393956,394004
393955,394003
393954,394001
393952,394000
392863,393999
393951,393998
393950,393997
393949,393996
393948,393995
393946,393994
393945,393993
393944,393992
393942,393991
393940,393990
393939,393988
393937,393986
393936,393985
393935,393983
393934,393982
393932,393981
393930,393980
393929,393979
393928,393978
393927,393977
393925,393976
393923,393975
393922,393974
393921,393973
393920,393972
393919,393971
393916,393970
393899,393900
393892,393897
393890,393895
393889,393894
393888,393893
393874,393885
393873,393884
393872,393882
393871,393881
393870,393880
393869,393879
393868,393878
393867,393876
393837,393863
393836,393862
393835,393861
393834,393859
393833,393857
393832,393856
393831,393855
393830,393854
393828,393852
393827,393851
393826,393850
393825,393849
393824,393848
393822,393847
393821,393846
393820,393845
393817,393842
393814,393841
393813,393840
393807,393808
393758,393800
393757,393799
393756,393798
393755,393797
393754,393795
393753,393794
393752,393793
393751,393792
393750,393791
393749,393790
393748,393789
393747,393788
393746,393787
393745,393786
393744,393785
393743,393784
393741,393783
393740,393782
393739,393781
393738,393780
393737,393779
393736,393778
393734,393777
393733,393775
393732,393774
393731,393773
393730,393772
393727,393769
393726,393768
393724,393767
393723,393765
393722,393764
393721,393763
393720,393762
393719,393761
393704,393708
393689,393706
393686,393705
393685,393703
393684,393702
393683,393701
393682,393700
393681,393699
393680,393697
393679,393696
393678,393695
393675,393694
393674,393693
393669,393670
393662,393668
393631,393666
393619,393664
393618,393663
393617,393660
393615,393659
393614,393658
393613,393657
393612,393656
393611,393655
393609,393654
393608,393653
393606,393652
393605,393651
393604,393650
393603,393649
393602,393648
393601,393647
393599,393646
393597,393645
393596,393644
393595,393643
393593,393642
393592,393641
393590,393640
393588,393639
393584,393637
393583,393636
393582,393635
393580,393633
393579,393632
393578,393630
393577,393629
393576,393628
393575,393626
393574,393625
393573,393624
393572,393623
393571,393622
392425,393600
392042,393585
393526,393556
393525,393554
393524,393551
393523,393550
393522,393549
393521,393548
393520,393547
393519,393546
393517,393545
393516,393544
393515,393543
393512,393541
393510,393540
393509,393539
393508,393538
393507,393537
393505,393535
393503,393533
393502,393532
393416,393506
393471,393492
393461,393490
393460,393489
393459,393488
393458,393487
393456,393486
393455,393485
393454,393484
393453,393483
393452,393482
393451,393481
393450,393480
393446,393479
393445,393478
393444,393477
393443,393476
393442,393475
393440,393474
393463,393473
393439,393472
393436,393470
393434,393467
393433,393466
390988,393448
393403,393428
393401,393427
393400,393426
393397,393425
393395,393424
393394,393423
393393,393422
393392,393421
393387,393420
393386,393419
393385,393418
393384,393415
393383,393413
393382,393412
393381,393411
393380,393410
393379,393409
393378,393408
393364,393370
393349,393369
393348,393368
393346,393367
393330,393365
393329,393363
393328,393362
393326,393361
393325,393359
393324,393358
393323,393357
393331,393356
393321,393355
393320,393354
393319,393352
392853,393351
393314,393345
393313,393344
393312,393343
393311,393342
392818,393341
393310,393340
393307,393339
393306,393338
393304,393337
393303,393336
393301,393335
390610,393309
393180,393300
393265,393291
393262,393290
393249,393289
393248,393288
393247,393286
393245,393284
390855,393283
393243,393282
393242,393281
393241,393280
393240,393279
393239,393278
393237,393275
393236,393273
393234,393272
393231,393271
393230,393269
393229,393268
393228,393267
393226,393264
393225,393263
393224,393261
393223,393260
393222,393259
393221,393258
393220,393257
393219,393256
393218,393254
393217,393252
393216,393251
392429,393233
393172,393211
393171,393210
393170,393209
393169,393208
393168,393207
393167,393206
393165,393204
393174,393202
393163,393201
393162,393199
393161,393198
393160,393196
393173,393195
393159,393194
393158,393193
393156,393192
393155,393191
393153,393190
393152,393189
393150,393187
393149,393186
393148,393185
393147,393184
393146,393183
393145,393181
393144,393179
393143,393178
393142,393177
393141,393176
393053,393131
393051,393130
392972,393129
392919,393123
392918,393122
392917,393120
392915,393117
392914,393116
392912,393115
392911,393114
392910,393113
392909,393112
392906,393110
392905,393109
392904,393108
391511,393106
392903,393105
392902,393104
392901,393103
392900,393102
392899,393100
392896,393098
392895,393097
392930,393096
392891,393095
392890,393094
392889,393093
392888,393092
392929,393091
392887,393090
392886,393089
392885,393088
392883,393087
392882,393086
392881,393085
392880,393084
392878,393082
392877,393081
392876,393078
392875,393077
391332,393076
392872,393074
392871,393073
392869,393072
392867,393071
392866,393070
392864,393069
392928,393068
392861,393066
392860,393065
392859,393064
392858,393063
392856,393061
392855,393060
392852,393059
392851,393058
392850,393057
392848,393056
392847,393055
392846,393054
392843,393052
392842,393050
392841,393048
392839,393047
392838,393046
392837,393045
392836,393044
392833,393043
392832,393042
392831,393041
392830,393040
392829,393039
392827,393038
392926,393037
392823,393036
392822,393034
392821,393033
392819,393031
392817,393029
392816,393028
392815,393027
392812,393026
392811,393024
392810,393023
392807,393022
392806,393020
392805,393019
392804,393018
392803,393016
392801,393015
392800,393014
392798,393013
392797,393012
392796,393011
392793,393009
392792,393008
392790,393007
392788,393006
392925,393004
392786,393003
392785,393002
392784,393000
392783,392998
392781,392997
392780,392996
392779,392995
392778,392994
392777,392993
392776,392992
392775,392991
392774,392990
392773,392989
392772,392988
392771,392987
392770,392986
392769,392985
392767,392984
392766,392983
392765,392982
392764,392981
392763,392980
392762,392979
392761,392978
392759,392977
392758,392975
392757,392974
392756,392973
392755,392971
392754,392970
392752,392968
392751,392965
392749,392964
392748,392963
392747,392962
392746,392961
392745,392960
392744,392959
392743,392958
392741,392956
392740,392955
392738,392954
392736,392952
392735,392951
392734,392950
392733,392948
391236,392947
392732,392946
392731,392945
392730,392944
392729,392943
392728,392942
392727,392941
385952,392795
392690,392692
392671,392685
392647,392684
392645,392683
392644,392682
392642,392681
392651,392680
392641,392679
392650,392678
392640,392677
392638,392676
392637,392675
392636,392674
392635,392673
392634,392672
392632,392670
392631,392669
392630,392668
392626,392666
392625,392665
392624,392664
392621,392661
392620,392660
392619,392658
392618,392656
392617,392655
392616,392654
392614,392653
392613,392652
392589,392607
392580,392606
392579,392605
392575,392604
392574,392603
392573,392602
392572,392601
392571,392600
392570,392599
392568,392598
392567,392597
392566,392596
392564,392595
392563,392594
392560,392593
392559,392592
392557,392590
392555,392588
392554,392587
392553,392586
392552,392585
392551,392584
392550,392583
392549,392581
392548,392578
392547,392577
392514,392539
392496,392538
392495,392537
392493,392536
392492,392535
392491,392534
392490,392532
392489,392531
392487,392530
392486,392529
392485,392528
392484,392527
392483,392526
392482,392525
392481,392524
392480,392522
392479,392521
392478,392520
392477,392519
392476,392518
392474,392517
392473,392516
392471,392513
392470,392512
392469,392511
392468,392510
392467,392509
392466,392508
392465,392507
392464,392506
392463,392505
392462,392503
392461,392502
392420,392454
392365,392451
392363,392450
392357,392449
392356,392448
392353,392447
392351,392446
392350,392445
392349,392444
392348,392443
392347,392442
392343,392441
392341,392440
392340,392439
392339,392438
392137,392436
392336,392435
392333,392434
392332,392432
392331,392431
392330,392430
392329,392428
392328,392427
392327,392426
392326,392423
392325,392422
392324,392421
392322,392419
392321,392418
392319,392417
392318,392416
392317,392415
392316,392414
392315,392413
392313,392410
392312,392409
392311,392408
392310,392407
392308,392406
392306,392404
392304,392403
392302,392402
392301,392401
392300,392400
392294,392397
392293,392395
392292,392394
392369,392393
392289,392391
392288,392390
392287,392389
392285,392388
392368,392387
392284,392386
392282,392385
392279,392384
392278,392383
392277,392381
392276,392380
392275,392379
392274,392378
392273,392376
392272,392375
392270,392373
392247,392248
392217,392246
392208,392245
392198,392244
392178,392243
392164,392239
392163,392238
392162,392237
392161,392236
392160,392235
392159,392234
392158,392233
392157,392232
392156,392231
392155,392230
392154,392229
392153,392228
392152,392227
392151,392226
392150,392225
392148,392223
392147,392222
392146,392221
392145,392219
392144,392218
392140,392216
392136,392213
392135,392211
392134,392210
392132,392209
388324,392207
392131,392206
392130,392205
392128,392203
392126,392202
392124,392200
392123,392199
392122,392197
392121,392196
392120,392195
392119,392194
392118,392193
392117,392192
392116,392191
392115,392190
392114,392189
392113,392188
392170,392187
392112,392186
391902,392182
392106,392180
392103,392179
392102,392177
392100,392176
392099,392175
392056,392143
392062,392082
392029,392081
392021,392079
392020,392078
392019,392077
392018,392076
392017,392075
392014,392074
392013,392073
392012,392072
392011,392071
392010,392070
392009,392069
392008,392068
392006,392067
392005,392066
392001,392065
392000,392064
391999,392063
391998,392061
391997,392060
391996,392059
391995,392058
391994,392057
391993,392055
391992,392054
391990,392053
391989,392052
392026,392051
391984,392050
391983,392048
391979,392047
391977,392045
391974,392044
391973,392043
391972,392041
391970,392040
391969,392038
391968,392037
391967,392036
391966,392035
392023,392034
391964,392032
391963,392031
391961,392030
391926,391948
391924,391947
391922,391946
391920,391945
391919,391944
391918,391943
391917,391942
391916,391941
391915,391940
391914,391938
391913,391937
391912,391936
391911,391935
391910,391934
391909,391933
391907,391932
391906,391931
391905,391930
391904,391929
391903,391928
391901,391927
391892,391895
391891,391894
391890,391893
391881,391888
391880,391887
391879,391886
391878,391885
391875,391883
391873,391882
391863,391868
391845,391867
391842,391866
391835,391864
391834,391861
391833,391860
391832,391859
391829,391858
391828,391857
391827,391856
391826,391855
391825,391854
391824,391853
391823,391852
391822,391851
391821,391850
391820,391849
391819,391847
391818,391846
391817,391844
391816,391843
391814,391839
391813,391838
391812,391837
391810,391836
391797,391805
391799,391804
391795,391802
391794,391801
391696,391789
390553,391788
391786,391787
391777,391785
391747,391784
391737,391783
391727,391782
391710,391780
391709,391779
391708,391778
391707,391776
391706,391775
391705,391774
391704,391773
391703,391772
391702,391771
391700,391770
391614,391767
391699,391766
391697,391765
391695,391764
391694,391763
391693,391762
391691,391760
391690,391759
391689,391758
391688,391757
391686,391756
391685,391755
391684,391754
390536,391753
391682,391752
391681,391751
391680,391750
391712,391749
391678,391746
391676,391745
391674,391744
391673,391743
391672,391742
391671,391741
391669,391739
391667,391736
391666,391735
391665,391734
391664,391732
391662,391731
391661,391730
391660,391729
391657,391726
391656,391725
391655,391724
391654,391723
391653,391722
391652,391721
391651,391720
391650,391719
391649,391718
391648,391717
391617,391627
391616,391626
391611,391625
391610,391624
391608,391623
391607,391622
391588,391603
391561,391597
391560,391596
390566,391595
391559,391594
391558,391593
391562,391592
391556,391591
391555,391589
391552,391587
391544,391583
391542,391582
391541,391581
391540,391580
391538,391579
391537,391578
391536,391577
391535,391576
391534,391575
391533,391574
391532,391573
391531,391572
391530,391571
391529,391570
391528,391569
391527,391567
391526,391566
391525,391565
