First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Dominic,Prakash,Chief Technology Officer,SPi,Dominic Prakash was Appointed as Chief Technology Officer at SPi,Richmond; VA-based SPi appointed Dominic Prakash as Chief Technology Officer.,Dominic Prakash was previously the Chief Technical Officer at Scientific Publishing Services.,SPi Global Solutions is one of the world's largest and most diversified Knowledge Process Outsourcing and Customer Interaction service providers in the industry in terms of clients; geographic presence; and capabilities with more than 14;000 dedicated employees globally.
Dominic,Martinelli,Chief Information Officer,Rackable Systems,Dominic Martinelli was Promoted to Chief Information Officer at Rackable Systems,Fremont; CA-based Rackable Systems promoted Dominic Martinelli to Chief Information Officer.,Dominic Martinelli was previously the Director of IT Infrastructure at Juniper Networks.,Rackable Systems; Inc. engages in the design; manufacture; and implementation of compute servers and storage systems in the United States.
Dmitry,Shapiro,Chief Technology Officer,MySpace Music,Dmitry Shapiro was Appointed as Chief Technology Officer at MySpace Music,Los Angeles; CA-based MySpace Music appointed Dmitry Shapiro as Chief Technology Officer.,Dmitry Shapiro was previously the founder of Veoh,MySpace of the second largest social network; owned by News Corp.
Dmitri,Boutoussov,Chief Technology Officer,BIOLASE Technology; Inc.,Dmitri Boutoussov was Promoted to Chief Technology Officer at BIOLASE Technology; Inc.,Irvine; CA-based BIOLASE Technology; Inc. promoted Dmitri Boutoussov to Chief Technology Officer.,Dmitri Boutoussov graduated from Polytechnical University in St. Petersburg; Russia in 1987. He obtained his Ph.D. degree three years later at Ioffe Physical Technical Institute; Russian Academy of Sciences; in the department of Semiconductor Devices; where the world?s first semiconductor diode lasers were built. Since 1992; Dmitri has been involved full time in research; design and applications of medical and dental laser systems. Dmitri recently headed up the team responsible for designing and developing the Waterlase MD.,Biolase Technology; Inc. specializes in the development; manufacturing and marketing of lasers and related products for medicine and dentistry. With over 14;000 lasers in use today; Biolase leads the global dental industry market with lasers; such as the Waterlase MD Turbo all-tissue laser; that feature proprietary and patented technologies focused on reducing pain and improving clinical results. 
Dinna,LeDuff Cottrell,Chief Information Officer,NASA's John C. Stennis Space Center,Dinna LeDuff Cottrell was Appointed as Chief Information Officer at NASA's John C. Stennis Space Center,Hampton; VA-based NASA's John C. Stennis Space Center appointed Dinna LeDuff Cottrell as Chief Information Officer.,Dinna LeDuff Cottrell was previously the Deputy chief information officer at for NASAs John C. Stennis Space Center.,The National Aeronautics and Space Administration (NASA) is an agency of the United States government; responsible for the nation's public space program. NASA was established on July 29; 1958; by the National Aeronautics and Space Act. 
Diane,Yao,Chief Technology Officer,Colo5,Diane Yao was Appointed as Chief Technology Officer at Colo5,Jacksonville; FL-based Colo5 appointed Diane Yao as Chief Technology Officer.,Diane Yao was previously Sr. Manager; Infrastructural Architecture at MPS Group Inc.,Colo5 is the leading data center operator in Northeast Florida. Colo5s bunker-like facility is unsurpassed in security; space; power; and network services which will keep your data safe from loss and interruption.
Diana,Schwartz,Chief Technology Officer,Launchpad,Diana Schwartz was Appointed as Chief Technology Officer at Launchpad,New York; NY-based Launchpad appointed Diana Schwartz as Chief Technology Officer.,Diana Schwartz was previously the  Chief Technology Officer at Grey E Marketing; Grey Direct and G2 Direct & Digital and led technical teams in New York; Chicago; Atlanta and Los Angeles.,"Launchpad was started around a core principle called ""Interaction"". Businesses need partners that can provide real strategic insight along with best-in-class creative across a variety of levers. "
Derrick,Brown,Chief Technology Officer,PCSSD,Derrick Brown was Appointed as Chief Technology Officer at PCSSD,Sherwood; AR-based PCSSD appointed Derrick Brown as Chief Technology Officer.,Derrick Brown was operations manager for ClearChoice Dental Implant Center in Portland and spent more than three years with Hopson as senior project manager of the Portland Public Schools from 2006 to 2009 where Hopson was an assistant superintendent.,
Derek,Mathieson,Chief Technology Officer,Baker Hughes Inc,Derek Mathieson was Appointed as Chief Technology Officer at Baker Hughes Inc,Houston; TX-based Baker Hughes Inc appointed Derek Mathieson as Chief Technology Officer.,Derek Mathieson was previously the President & CEO at WellDynamics.,Baker Hughes Incorporated (NYSE: BHI) provides reliable; practical solutions when and where our customers need them to lower costs; reduce risk and improve productivity.
Depankar,Neogi,Chief Technology Officer,Copanion,Depankar Neogi Resigned as Chief Technology Officer at Copanion,Andover; MA-based Copanion accepted resignation of Depankar Neogi as Chief Technology Officer.,Depankar Neogi was previously Senior Manager at Arthur D. Little; Inc.,Copanion is a leading innovator in tax document automation; dedicated to saving tax professionals time with accurate and secure web-based applications that are affordable and easy-to-use.
Dennis,Noto,Chief Information Officer,Trust Company of America,Dennis Noto was Appointed as Chief Information Officer at Trust Company of America,Centennial; CO-based Trust Company of America appointed Dennis Noto as Chief Information Officer.,Dennis Noto was previously Chief Information Officer at CRI.,Trust is an independent provider of custody; trading; and back office services to fee-only Registered Investment Advisors. 
