First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Brad,Merlie,Vice President of Information Services,Piedmont Natural Gas,Brad Merlie was Promoted to Vice President of Information Services at Piedmont Natural Gas,Charlotte; NC-based Piedmont Natural Gas promoted Brad Merlie to Vice President of Information Services.,Mr. Merlie joined Piedmont Natural Gas from Williams International in July of 2007 as Piedmont's Director of Liquefied Natural Gas (LNG) in which he was responsible for the day-to-day operations of Piedmont's three LNG facilities in North Carolina and Tennessee.,Piedmont Natural Gas is an energy services company primarily engaged in the distribution of natural gas to more than one million residential; commercial and industrial utility customers in North Carolina; South Carolina and Tennessee; including 52;000 customers served by municipalities who are wholesale customers. 
Brian,McHale,Vice President of Technology,Fisher Communications,Brian McHale was Appointed as Vice President of Technology at Fisher Communications,Seattle; WA-based Fisher Communications appointed Brian McHale as Vice President of Technology.,Mr. McHale was Chief Technology Officer; responsible for broadcast operations; information technology; and overall technology strategy for DIRECTV Sports Networks; LLC; consisting of regional sports networks in Seattle; Pittsburgh; Utah and Denver. Prior to joining DIRECTV Sports Networks; McHale was Vice President; Information Technology for Starz Entertainment; LLC; responsible for all aspects of IT planning; engineering; software development; database administration; service delivery; and support. McHale also spent more than 3 years at Discovery Communications as Vice President; Global Operations in Maryland and while in London he served as Vice President of IT international for Discovery in charge of all IT operations for the company outside of the United States. McHale also worked for MCI for 11 years; where he began his career as manager of software development and left as director of enterprise data and management services. As director; he was responsible for all aspects of MCI's global internal data network.,Fisher Communications; Inc. is a Seattle-based communications company that owns and operates 13 full power television stations; 7 low power television stations; and 8 radio stations in the western United States. The Company also owns and operates Fisher Interactive Network; its online division (including over 125 online sites); Fisher Pathways; a satellite and fiber transmission provider; and Fisher Plaza; a media; telecommunications; and data center facility located near downtown Seattle. For more information about Fisher Communications; Inc.; go to www.fsci.com.
Lior,Blanka,Chief Technology Officer,DSP Group,Lior Blanka was Promoted to Chief Technology Officer at DSP Group,San Jose; CA-based DSP Group promoted Lior Blanka to Chief Technology Officer.,Mr. Blanka is presently the Corporate Vice President and Platform Division Manager of the Company. Mr. Blanka has more than 20 years experience in the wireless and SoC industries. He previously was employed at Intel as 3.5G cellular phone cross sites manager; and DSP Communications as CDMA phone reference design manager.,DSP Group; Inc. (NASDAQ: DSPG) is a leading global provider of wireless chipset solutions for converged communications at home. Delivering system solutions that combine semiconductors and software with reference designs; DSP Group enables consumer electronics (CE) manufacturers to cost-effectively develop new revenue-generating applications with fast time to market.
Eric,Raab,Chief Technology Officer,M5 Networks,Eric Raab was Appointed as Chief Technology Officer at M5 Networks,New York; NY-based M5 Networks appointed Eric Raab as Chief Technology Officer.,Mr Raab began his commercial career at AT&T Bell Labs. He has served IDT Corporation as chief technology officer. Most recently; he served as chief technology officer at Toktumi; and Epana Networks.,M5 Networks is redefining what a business phone system can do. As the market leader in hosted business Voice-over-IP (VoIP) ; M5 Networks allows companies to work the way they want to; while connecting them to their customers; their applications and their businesses.
Roderick,Facey,Vice President of Technology,Gemini Corporation,Roderick Facey was Appointed as Vice President of Technology at Gemini Corporation,Calgary; AB-based Gemini Corporation appointed Roderick Facey as Vice President of Technology.,Mr Facey has been employed with Gemini since 2004 and has been actively involved in the company's delivery of several innovative technology solutions.,Harnessing energy since 1982; Gemini has built a reputation for building collaboration through a steadfast commitment to safety; quality; client service and integrity.
Motoaki,Saito,Chief Technology Officer,TeraRecon,Motoaki Saito was Appointed as Chief Technology Officer at TeraRecon,San Mateo; CA-based TeraRecon appointed Motoaki Saito as Chief Technology Officer.,Motoaki Saito was previously the Chief Executive Officer at TeraRecon; Inc.,TeraRecon; Inc.; an imaging technology company; develops; markets; and supports image processing and visualization solutions for professional imaging applications.
Mostafa,Ronaghi,Chief Technology Officer,Illumina,Mostafa Ronaghi was Appointed as Chief Technology Officer at Illumina,San Diego; CA-based Illumina appointed Mostafa Ronaghi as Chief Technology Officer.,Mostafa Ronaghi was previously the Principal Investigator at Stanford Univ,Illumina (www.illumina.com) is a leading developer; manufacturer; and marketer of next-generation life-science tools and integrated systems for the large-scale analysis of genetic variation and biological function. Using our proprietary technologies; we provide a comprehensive line of products and services that currently serve the sequencing; genotyping; and gene expression markets; and we expect to enter the market for molecular diagnostics.
Akhil,Tripathi,Chief Information Officer,Harleysville Insurance Group,Akhil Tripathi Resigned as Chief Information Officer at Harleysville Insurance Group,Harleysville; PA-based Harleysville Insurance Group accepted resignation of Akhil Tripathi as Chief Information Officer.,Most recently; Tripathi was managing director and CIO of Marsh Affinity and Private Client Services; a division of Marsh & McLennan Cos. Prior to that; he was executive vice president and IT executive for the Fusura eAgency; an Internet insurance exchange he started for American International Group. Read more: http://www.insurancejournal.com/magazines/west/2005/02/21/people/52339.htm#ixzz0vmvaPQLI,Harleysville is a leading regional provider of insurance products and services for small and mid-sized businesses; as well as for individuals; and ranks among the top 60 U.S. property/casualty insurance groups. We specialize in insuring small businesses and we're known for creating strong; lasting relationships with our customers. If you can't find what you're looking for or if you have additional questions; contact an agent in your area or get in touch with our office nearest you . All rights reserved. The products described on this Web site are not available in all states of the United States. Please read our disclaimer and privacy policy . 
Susan,Denchak,Director of Technology,Electronic Ink,Susan Denchak was Appointed as Director of Technology at Electronic Ink,Philadelphia; PA-based Electronic Ink appointed Susan Denchak as Director of Technology.,Most recently; Susan Denchak served as Global Program Manager with Merck & Company; where she managed all business initiatives related to Global Mast Data Management and also ensured the alignment of the company's strategic roadmap with its Global IT Strategy. ,Electronic Ink is an international Business System Design consultancy dedicated to improving the way people interact with technology; environments and one another.
Robert,Savel,Chief Technology Officer,Inspire Pharma,Robert Savel was Appointed as Chief Technology Officer at Inspire Pharma,Durham; NC-based Inspire Pharma appointed Robert Savel as Chief Technology Officer.,Most recently; Mr. Savel served as President of Savel Enterprises LLC and; prior to that; held the position of Senior Vice President; Technical Operations at PDL Biopharma from 2007 until 2008. ,Inspire is a biopharmaceutical company focused on researching; developing and commercializing prescription pharmaceutical products for ophthalmic and pulmonary diseases.
