First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Michael,Paravicini,Chief Information Officer,Zurich,Michael Paravicini Retired as Chief Information Officer at Zurich,Schaumburg; IL-based Zurich announced retirement of Michael Paravicini as Chief Information Officer.,Michael Paravicini was previously the Chief Information Officer and Head of Global Operations at Commerzbank's Head Office in Frankfurt and; in September 2000; was promoted to member of the board of managing directors. ,Zurich Financial Services Group (Zurich) is an insurance-based financial services provider with a global network of subsidiaries and offices in North America and Europe as well as in Asia-Pacific; Latin America and other markets. 
Rohit,Sharma,Chief Executive Officer,Vdopia,Rohit Sharma was Appointed as Chief Executive Officer at Vdopia,San Jose; CA-based Vdopia appointed Rohit Sharma as Chief Executive Officer.,Rohit Sharma was previously the EVP and CTO of ONI Systems; where he created the optical switching technology that paved the way for the foundation of ONI in 1997. He was also a member of the investment team at Mohr; Davidow Ventures (MDV) in the information technology area before arriving at Vdopia. ,Vdopia is the largest Video Ad Network and Video Ad Platform that targets Indians across the world.
Madeleine,Gray,Vice President; Business Technology Delivery,US Airways,Madeleine Gray was Appointed as Vice President; Business Technology Delivery at US Airways,Tempe; AZ-based US Airways appointed Madeleine Gray as Vice President; Business Technology Delivery.,Madeleine Gray was previously the Sr. Director; Product Solutions & Development at Sabre Holdings,US Airways Group Inc is an airline holding company that operates US Airways; US Airways Express and America West Airlines and is based in Temple; Arizona .
Dave,Cummings,Chief Information Officer,Univar,Dave Cummings was Appointed as Chief Information Officer at Univar,Chattanooga; WA-based Univar appointed Dave Cummings as Chief Information Officer.,Dave Cummings previously held a number of leadership positions in Engineering; Operations; Project Management; Business Development and Information Technology – gaining extensive cross-functional and international experience.,Univar USA is the leading chemical distributor in the United States; providing more chemical products and related services than any other company in the marketplace.
Ajay,Singh,Vice President of Business Management in Informati,United Airlines,Ajay Singh was Appointed as Vice President of Business Management in Informati at United Airlines,Chicago; IL-based United Airlines appointed Ajay Singh as Vice President of Business Management in Informati.,Ajay Singh joined United in 1992 and has held numerous leadership positions in information technology; operations finance and the company’s business transformation organization. Singh joined United in 1992 and has held numerous leadership positions in information technology; operations finance and the company’s business transformation organization.,United Airlines; a wholly-owned subsidiary of UAL Corporation (Nasdaq: UAUA); operates approximately 3;400* flights a day on United and United Express to more than 230 U.S. domestic and international destinations from its hubs in Los Angeles; San Francisco; Denver; Chicago and Washington; D.C.  With key global air rights in the Asia-Pacific region; Europe and Latin America; United is one of the largest international carriers based in the United States.  United also is a founding member of Star Alliance; which overall offers 19;700 daily flights to 1;077 airports in 175 countries through its 26 member airlines.  United's 46;000 employees reside in every U.S. state and in many countries around the world.  United ranked No. 1 in on-time performance** for domestic scheduled flights for 2009 among America's five largest global carriers; as measured by the Department of Transportation and published in the Air Travel Consumer Report for 2009. United also ranked No. 1 in on-time arrivals among the five largest U.S. global carriers for the first six months of 2010 based on preliminary information.  News releases and other information about United can be found at the company's Web site at united.com; and follow United on Twitter @UnitedAirlines.
Dominick,Cavuoto,President of Technology,Unisys,Dominick Cavuoto was Promoted to President of Technology at Unisys,Blue Bell; PA-based Unisys promoted Dominick Cavuoto to President of Technology.,Dominick Cavuoto was previously the president of Worldwide Consulting and Integration Services within TCIS.,Unisys is a worldwide information technology company.
Neil,Cameron,Chief Information Officer,Unilever,Neil Cameron Resigned as Chief Information Officer at Unilever,Englewood Cliffs; NJ-based Unilever accepted resignation of Neil Cameron as Chief Information Officer.,Neil Cameron joined Unilever in July 2003 from Diageo plc where he was also CIO.,Unilever is an Anglo-Dutch multinational corporation that owns many of the world's consumer product brands in foods; beverages; cleaning agents and personal care products.
Tracy,Koenig,Chief Information Officer,Ulteig,Tracy Koenig was Promoted to Chief Information Officer at Ulteig,Fargo; ND-based Ulteig promoted Tracy Koenig to Chief Information Officer.,Tracy Koenig was previously the Network Administrator at SEI LLC.,Ulteig to provide engineering and surveying services for the upper Midwest during the rapid growth of rural electrification.
Greg,Pass,Chief Technology Officer,Twitter,Greg Pass was Promoted to Chief Technology Officer at Twitter,San Francisco; CA-based Twitter promoted Greg Pass to Chief Technology Officer.,Greg Pass was previously the VP of Engineering at Twitter. Prior to Twitter he was the CTO and Co-Founder at Summize.; which was acquired by Twitter in July 2008. ,Twitter is a website; owned and operated by Twitter Inc; which offers a social networking and microbloggingservice; enabling its users to send and read other users' messages called tweets.
Mick,Giles,Chief Technology Officer,True Games Interactive,Mick Giles was Appointed as Chief Technology Officer at True Games Interactive,Irvine; CA-based True Games Interactive appointed Mick Giles as Chief Technology Officer.,Most recently Giles served as Sr. Director of Online Operations for North America & Asia and Sr. Director of Technology for Worldwide Studios at Electronic Arts.,True Games Interactive was founded in January 2008 by Jeff Lujan and Bob Drobish on the premise that online gamers deserved better.
