Dupe 1,Dupe 2
385204,385252
385203,385250
385202,385249
385200,385248
385199,385247
385198,385246
385197,385245
385196,385244
385195,385243
385194,385241
385193,385240
385192,385239
384908,385238
385191,385237
385190,385236
385189,385235
385188,385234
385187,385231
385186,385230
385185,385229
385184,385228
385183,385227
385182,385226
385181,385225
385180,385224
384857,385223
385179,385222
385176,385220
385173,385219
385172,385218
385171,385217
385159,385165
385094,385162
385093,385161
385092,385158
385091,385157
385090,385155
385089,385153
385088,385152
385086,385151
385084,385150
385083,385149
385082,385148
385081,385147
385080,385146
385079,385145
385077,385144
385076,385143
385074,385142
385073,385140
385072,385139
385070,385138
385069,385137
385068,385136
385067,385135
385066,385134
385065,385133
385063,385130
385060,385128
385059,385127
385056,385125
385053,385124
385052,385123
385051,385122
385050,385121
385049,385120
385046,385118
385045,385115
385044,385113
385043,385112
385042,385111
385041,385109
385039,385108
385038,385107
385037,385105
385036,385104
385035,385103
385034,385102
385032,385101
385031,385100
385030,385099
385029,385098
384949,385015
384948,385014
384945,385012
384944,385011
384943,385010
384942,385009
384940,385008
384952,385007
384938,385006
384929,385000
384928,384999
384927,384998
384926,384997
384925,384996
384924,384995
384923,384994
384922,384993
384921,384992
384920,384991
384918,384990
384917,384989
384915,384987
384914,384986
384913,384984
384911,384983
384910,384981
384909,384980
384906,384979
384905,384978
384904,384977
384903,384975
384902,384974
384901,384973
384900,384972
384951,384968
384898,384967
384897,384966
384896,384965
384895,384964
384894,384963
384893,384962
384892,384961
384891,384960
384890,384959
384889,384958
384888,384957
384884,384956
384883,384955
384881,384954
384880,384953
384861,384863
384860,384862
384858,384859
384744,384856
384842,384855
384841,384854
384840,384853
384839,384852
384838,384851
384837,384849
384836,384848
384835,384847
384834,384846
384833,384845
384832,384844
384824,384827
384823,384826
384822,384825
384639,384820
384818,384819
384803,384815
384802,384814
384801,384812
384800,384811
384799,384810
384798,384809
384796,384808
384795,384807
384794,384806
384793,384805
384788,384791
384787,384790
384775,384785
384774,384784
384773,384782
384772,384781
384770,384780
384767,384779
384765,384778
384764,384777
384738,384761
384735,384760
384734,384759
384733,384758
384732,384757
384730,384755
384728,384754
384727,384753
384726,384751
384725,384750
384723,384749
384722,384748
384721,384747
384720,384746
384717,384743
384715,384742
384739,384741
384714,384740
384674,384705
384663,384704
384662,384703
384661,384702
384660,384701
384658,384700
384657,384699
384656,384698
384655,384697
384654,384696
384653,384695
384651,384693
384650,384692
384646,384690
384645,384689
384643,384688
384642,384687
384640,384686
384637,384685
384636,384682
384635,384681
384634,384680
384633,384679
