Company Name,Company Website,Company Logo,Company Size Revenue,Company Size Employees,Industry,Email Pattern,Leadership Page,Address,Address 2,City,Country,State,Zip Code,Phone,Fax,About Company,Facebook Link,Linkedin Link,Twitter Link,Google+ Link
Griffin Industries ,www.griffinind.com,,$500M-1 Billion,100-250,Agriculture & Mining : Agriculture & Mining Other,,,4221 Alexandria Pike,,Newport,United States,KY,41076,859.781.2010,,"Griffin Industries, Inc. is one of the leading companies in Agriculture & Mining industry. Griffin Industries, Inc. is based in Newport, KY. You can find more information on Griffin Industries, Inc. at www.griffinind.com", ,,,
BMI Canada ,www.bmicanada.com,,$1-10 Million,0-25,Wholesale & Distribution : Wholesale & Distribution Other,,,3437 boul de la Grande-Alliance,,Boisbriand,Canada,QC,J7H 1H5,450.434.1313,,"BMI Canada Inc. is one of the leading companies in Wholesale & Distribution industry. BMI Canada Inc. is based in Boisbriand, QC. You can find more information on BMI Canada Inc. at www.bmicanada.com", ,,,
City of Brampton,www.city.brampton.on.ca,,$0-1 Million,100-250,Government : Government Other,,,2 Wellington St W Brampton City Hall,,Brampton,Canada,ON,L6Y 4R2,905.874.2000,,"City of Brampton is one of the leading companies in Government industry. City of Brampton is based in Brampton, ON. You can find more information on City of Brampton at www.city.brampton.on.ca", ,,,
Entertainment One,www.entertainmentone.ca,,$10-50 Million,25-100,Computers & Electronics : Computers & Electronics Other,,,70 Driver Rd Unit 1,,Brampton,Canada,ON,L6T 5V2,905.624.7337,,"Entertainment One is one of the leading companies in Computers & Electronics industry. Entertainment One is based in Brampton, ON. You can find more information on Entertainment One at www.entertainmentone.ca", ,,,
Etratech ,www.etratech.com,,$10-50 Million,25-100,Manufacturing : Manufacturing Other,,,1047 Cooke Blvd,,Burlington,Canada,ON,L7T 4A8,905.681.7544,,"Etratech Inc. is one of the leading companies in Manufacturing industry. Etratech Inc. is based in Burlington, ON. You can find more information on Etratech Inc. at www.etratech.com", ,,,
THE PROCON GROUP,www.procongroup.net,,$10-50 Million,25-100,Agriculture & Mining : Agriculture & Mining Other,,,4664 Lougheed Hwy,,Burnaby,Canada,BC,V5C 5T5,604.296.3381,,"THE PROCON GROUP is one of the leading companies in Agriculture & Mining industry. THE PROCON GROUP is based in Burnaby, BC. You can find more information on THE PROCON GROUP at www.procongroup.net", ,,,
Forensic Technology WAI,www.fti-ibis.com,,$1-10 Million,25-100,Software & Internet : Software,,,5757 boul Cavendish,,Cate Saint-Luc,Canada,QC,H4W 2W8,727.373.1444,,"Forensic Technology WAI is one of the leading companies in Software & Internet industry. Forensic Technology WAI is based in Côte Saint-Luc, QC. You can find more information on Forensic Technology WAI at www.fti-ibis.com", ,,,
Olympic Seismic,www.olysei.com,,$10-50 Million,25-100,Consumer Services : Consumer Services Other,,,407 2 St SW,,Calgary,Canada,AB,T2P 2Y3,403.515.2800,,"Olympic Seismic is one of the leading companies in Consumer Services industry. Olympic Seismic is based in Calgary, AB. You can find more information on Olympic Seismic at www.olysei.com", ,,,
Canadian Oil Sands Trust,www.cos-trust.com,,$100-250 Million,25-100,Energy & Utilities : Energy & Utilities Other,,,350 7 Ave SW Ste 2500,,Calgary,Canada,AB,T2P 3N9,403.218.6200,,"Canadian Oil Sands Trust is one of the leading companies in Energy & Utilities industry. Canadian Oil Sands Trust is based in Calgary, AB. You can find more information on Canadian Oil Sands Trust at www.cos-trust.com", ,,,
MEG Energy,www.megenergy.com,,$50-100 Million,25-100,Energy & Utilities : Energy & Utilities Other,,,520 3 Ave SW,,Calgary,Canada,AB,T2P 0R3,403.770.0446,,"MEG Energy is one of the leading companies in Energy & Utilities industry. MEG Energy is based in Calgary, AB. You can find more information on MEG Energy at www.megenergy.com", ,,,
