Company Name,Company Website,Company Logo,Company Size Revenue,Company Size Employees,Industry,Email Pattern,Leadership Page,Address,Address 2,City,Country,State,Zip Code,Phone,Fax,About Company,Facebook Link,Linkedin Link,Twitter Link,Google+ Link
ID Experts,www.idexpertscorp.com,,$1-10 Million,25-100,Business Services : Business Services Other,,,10300 SW Greenburg Rd,,Portland,United States,OR,97223-5410,800.298.7558,,ID Experts is one of the leading providers in Business Services.  It is based in Portland; OR.  To find more information about ID Experts; please visit www.idexpertscorp.com.,,,,
IDEXX Laboratories; Inc.,www.idexx.com,,> $1 Billion,100-250,Healthcare; Pharmaceuticals; & Biotech : Healthcare; Pharmaceuticals; & Biotech Other,,,1 Idexx Dr,,Westbrook,United States,ME,04092-2040,207.856.0300,,IDEXX Laboratories; Inc. (IDEXX) develops; manufactures and distributes products; and provides services primarily for the veterinary; and the food and water testing markets.                ,,,,
iDirect Inc,www.idirect.net,,$50-100 Million,250-1000,Telecommunications : Telecommunications Other,,,13865 Sunrise Valley Dr Ste 100,,Herndon,United States,VA,20171-6190,703.648.8000,,iDirect Technologies designs; develops; and markets satellite-based broadband access solutions targeted at the enterprise; government; carrier and educational sectors that have the need for fast; flexible; and geographically dispersed two-way         ,,,,
IdOnDemand; Inc.,www.idondemand.com,,$10-50 Million,0-25,Software & Internet : Software & Internet Other,,,4713 1st St Ste 105,,Pleasanton,United States,CA,94566-7362,415.200.4546,,IdOnDemand; Inc. is one of the leading providers in Software & Internet.  It is based in Pleasanton; CA.  To find more information about IdOnDemand; Inc.; please visit www.idondemand.com.,,,,
International Dairy Queen; Inc.,www.idq.com,,$0-1 Million,0-25,Financial Services : Financial Services Other,,,1770 Fort Union Blvd Ste 100,,Salt Lake City,United States,UT,84121-2880,801.942.0412,,International Dairy Queen; Inc. is one of the leading providers in Financial Services.  It is based in Salt Lake City; UT.  To find more information about International Dairy Queen; Inc.; please visit www.idq.com,,,,
International Dairy Queen; Inc.,www.idq.com,,> $1 Billion,1K-10K,Retail : Retail Other,,,7505 Metro Blvd,,Minneapolis,United States,MN,55439-3081,952.830.0200,,International Dairy Queen; Inc. is one of the leading providers in Retail.  It is based in Minneapolis; MN.  To find more information about International Dairy Queen; Inc.; please visit www.idq.com.,,,,
Integrated Device Technology; Inc. (IDT),www.idt.com,,> $1 Billion,1K-10K,Computers & Electronics : Computers & Electronics Other,,,6024 Silver Creek Valley Rd,,San Jose,United States,CA,95138-1011,408.284.8200,,With the goal of continuously improving the digital media experience; IDT integrates its fundamental semiconductor heritage with essential innovation; developing and delivering low-power; mixed signal solutions that solve customer problems.         ,,,,
ID WHOLESALER,www.idwholesaler.com,,$0-1 Million,0-25,Retail : Retail Other,,,18640 Lake Dr E,,Chanhassen,United States,MN,55317-9383,952.852.0551 x160,,ID WHOLESALER is one of the leading providers in Retail.  It is based in Chanhassen; MN.  To find more information about ID WHOLESALER; please visit www.idwholesaler.com.,,,,
Independent Electrical Contractors,www.ieci.org,,$1-10 Million,25-100,Business Services : Business Services Other,,,4401 Ford Ave Ste 1100,,Alexandria,United States,VA,22302-1464,703.549.7351,,Independent Electrical Contractors is one of the leading providers in Business Services.  It is based in Alexandria; VA.  To find more information about Independent Electrical Contractors; please visit www.ieci.org.,,,,
IE Discovery; Inc.,www.iediscovery.com,,$10-50 Million,100-250,Business Services : Business Services Other,,,13640 Briarwick Dr Ste 250,,Austin,United States,TX,78729-1713,512.498.7400,,IE Discovery; Inc. is one of the leading providers in Business Services.  It is based in Austin; TX.  To find more information about IE Discovery; Inc.; please visit www.iediscovery.com.,,,,
IEX (a Nice Company),www.iex.com,,$250-500 Million,1K-10K,Computers & Electronics : Computers & Electronics Other,,,2425 N Central Expy Ste 500,,Richardson,United States,TX,75080-2735,972.301.1300,,IEX (a Nice Company) is one of the leading providers in Computers & Electronics.  It is based in Richardson; TX.  To find more information about IEX (a Nice Company); please visit www.iex.com.,,,,
