First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Ben,Davies,Chief Information Officer,The Perimeter Institute of Theoretical Physics,Ben Davies was Appointed as Chief Information Officer at The Perimeter Institute of Theoretical Physics,Waterloo; AL-based The Perimeter Institute of Theoretical Physics appointed Ben Davies as Chief Information Officer.,Ben Davies was previously the CEO at Catharsis Managed IT., Perimeter Institute for Theoretical Physics is a basic research centre dedicated to exploring the world around us at its most fundamental level.
Ben,Blanquera,Vice President of Information Services,Progressive Medical Inc.,Ben Blanquera was Promoted to Vice President of Information Services at Progressive Medical Inc.,Westerville; OH-based Progressive Medical Inc. promoted Ben Blanquera to Vice President of Information Services.,Ben Blanquera was previously Vice President Strategy and Development at MBA FOCUS.,For over 20 years; Progressive Medical has offered cost management services to clients; quality care to injured parties and programs to the workers' compensation and auto no-fault insurance industries.
Ed,Steinike,Chief Information Officer,ING Insurance,Ed Steinike Resigned as Chief Information Officer at ING Insurance,Atlanta; GA-based ING Insurance accepted resignation of Ed Steinike as Chief Information Officer.,Before rejoining The Coca-Cola Company in April; Mr. Steinike served as Executive Vice President and Chief Information Officer at ING Insurance. Prior to ING; he was The Coca-Cola Company?s Chief Development Officer and CIO of its North America business from 2004 to 2007. From 2002 to 2004; Mr. Steinike was the Company?s Chief Technology Officer. Prior to joining The Coca-Cola Company; he worked at General Electric between 1976 and 2002; holding positions of increasing responsibility including CIO for GE Energy and GE Medical Systems. Mr. Steinike holds a Bachelor of Science degree from Marquette University.,ING is a global financial institution of Dutch origin offering banking; investments; life insurance and retirement services to over 85 million private; corporate and institutional clients in more than 40 countries. With a diverse workforce of over 107;000 people; ING comprises a broad spectrum of prominent companies that increasingly serve their clients under the ING brand. 
Ed,Steinike,Chief Information Officer,The Coca Cola Company,Ed Steinike was Appointed as Chief Information Officer at The Coca Cola Company,Atlanta; GA-based The Coca Cola Company appointed Ed Steinike as Chief Information Officer.,Before rejoining The Coca-Cola Company in April; Mr. Steinike served as Executive Vice President and Chief Information Officer at ING Insurance. Prior to ING; he was The Coca-Cola Company?s Chief Development Officer and CIO of its North America business from 2004 to 2007. From 2002 to 2004; Mr. Steinike was the Company?s Chief Technology Officer. Prior to joining The Coca-Cola Company; he worked at General Electric between 1976 and 2002; holding positions of increasing responsibility including CIO for GE Energy and GE Medical Systems. Mr. Steinike holds a Bachelor of Science degree from Marquette University.,The Coca-Cola Company (NYSE: KO) is the world's largest beverage company; refreshing consumers with more than 500 sparkling and still brands. Along with Coca-Cola; recognized as the world's most valuable brand; the Company's portfolio includes 12 other billion dollar brands; including Diet Coke; Fanta; Sprite; Coca-Cola Zero; vitaminwater; POWERADE; Minute Maid; Simply and Georgia Coffee. Globally; we are the No. 1 provider of sparkling beverages; juices and juice drinks and ready-to-drink teas and coffees. Through the world's largest beverage distribution system; consumers in more than 200 countries enjoy the Company's beverages at a rate of 1.6 billion servings a day. With an enduring commitment to building sustainable communities; our Company is focused on initiatives that protect the environment; conserve resources and enhance the economic development of the communities where we operate. For more information about our Company; please visit our website at www.thecoca-colacompany.com.
Jeff,Marshall,Chief Information Officer,Kohl,Jeff Marshall Resigned as Chief Information Officer at Kohl,Menomonee Falls; WI-based Kohl accepted resignation of Jeff Marshall as Chief Information Officer.,Before moving to Kohl's; Marshall was CIO of Men's Wearhouse; which he joined in 1996; holding positions including president of the corporate apparel division; and VP of information and technology. Prior to that; Marshall -- a former chairman of the National Retail Federation's CIO Council -- founded Icon Network Services.,Kohl's Corporation is an American departmental store chain. It has its headquarters in Menomonee Falls; in Wisconsin; which is a suburban area of Milwaukee. Currently; The Company is operating 1;067 stores in about 46 states. Mission of this company is to be the foremost family-focused; value oriented specialty departmental store.
John,Hooper,Chief Information Officer,University of Northern Texas,John Hooper was Promoted to Chief Information Officer at University of Northern Texas,Denton; TX-based University of Northern Texas promoted John Hooper to Chief Information Officer.,Before joining UNT; Hooper worked for M.D. Anderson Cancer Center; Pennzoil and Texas A&M University.,The UNT Computing and Information Technology Center (hereafter referred to as Computing Center) operates as a service department of the University and provides shared computing resources for instruction; research; and administration. The Computing Center also provides coordination; advice; and assistance in the acquisition; installation; and maintenance of minicomputers; microcomputers; and terminals.
Chris ,MacFarland ,Chief Technology Officer,Paetec Communications,Chris  MacFarland  Resigned as Chief Technology Officer at Paetec Communications,Fairport; NY-based Paetec Communications accepted resignation of Chris  MacFarland  as Chief Technology Officer.,Before joining Masergy; MacFarland was the chief technology officer at Paetec Holding Corp.,PAETEC; a FORTUNE 1000 company; is personalizing business communications for medium and large businesses; enterprise organizations and institutions across the United States. 
Nasos,Topakas,Chief Technology Officer,Art.com,Nasos Topakas was Appointed as Chief Technology Officer at Art.com,Emeryville; CA-based Art.com appointed Nasos Topakas as Chief Technology Officer.,Before joining Art.com Inc.; Topakas was CTO for SendMe Inc. and StubHub Inc.,Emeryville-based Art.com is an online specialty provider of wall art products and services.
Hilary,Worthen,Chief Information Officer,Cambridge Health,Hilary Worthen was Appointed as Chief Information Officer at Cambridge Health,Cambridge; MA-based Cambridge Health appointed Hilary Worthen as Chief Information Officer.,Before devoting himself to IT full-time in 2000; Dr. Worthen held a variety of clinical positions. He joined the Cambridge Hospital (now part of CHA) in 1974 and; over the course of 25 years; helped establish a new Primary Care Unit; co-founded the successful Cambridge Family Health practice; served as Medical Director for Adult and Family Ambulatory Care; and was Medical Director of Inpatient Medical and Surgical Services at the Cambridge Hospital.,Cambridge Health Alliance is an innovative; award-winning health system that provides high quality care in Cambridge; Somerville; and Boston's metro-north communities. 
Michael,Duffy,Chief Information Officer,Department of Treasury,Michael Duffy Resigned as Chief Information Officer at Department of Treasury,Washington; DC-based Department of Treasury accepted resignation of Michael Duffy as Chief Information Officer.,Before being appointed CIO and deputy assistant secretary for information systems for Treasury in September 2007; Duffy spent 15 years with Justice; including time as deputy chief information officer.,The Department of the Treasury is an executive department and the treasury of the United States federal government. It was established by an Act of Congress in 1789 to manage government revenue.
