Dupe 1,Dupe 2
405224,405232
405209,405221
405208,405220
405207,405219
405205,405217
405204,405216
405202,405215
405201,405214
405200,405213
405199,405212
405198,405211
405195,405197
405192,405194
405189,405190
405183,405186
405181,405185
405172,405184
405170,405182
405168,405180
405167,405178
405166,405177
405165,405176
405157,405161
405156,405160
405154,405159
405153,405158
405141,405148
405139,405145
405138,405144
405136,405143
405135,405142
405129,405131
405128,405130
405123,405126
405122,405125
405121,405124
405117,405118
405096,405116
405094,405115
405093,405114
405092,405113
405091,405112
405090,405111
405089,405110
405088,405109
405087,405108
405086,405107
405085,405106
405084,405105
405082,405104
405080,405102
405079,405101
405078,405100
405077,405099
405067,405073
405066,405072
405064,405070
405063,405069
405060,405061
405056,405058
405055,405057
405052,405054
405051,405053
405049,405050
405038,405045
405021,405044
405015,405043
405014,405042
405009,405041
405008,405040
405007,405037
405006,405035
405005,405034
405004,405033
403834,405031
405003,405029
405002,405028
405001,405026
405000,405024
404999,405023
404996,405022
404995,405020
405011,405018
404991,405017
405010,405016
404983,404986
404982,404985
404981,404984
404921,404976
404910,404975
404902,404972
404901,404970
404900,404969
404899,404968
404898,404967
404897,404966
404896,404964
404895,404963
404894,404962
404893,404960
404892,404958
404891,404957
404890,404956
404889,404955
404887,404954
404886,404953
404885,404952
404884,404951
404882,404950
404880,404949
403634,404948
404878,404947
404877,404946
404876,404945
404874,404944
404873,404943
404870,404939
404867,404938
404866,404937
404865,404934
404864,404933
404862,404932
404860,404931
404858,404929
404855,404927
404854,404926
404853,404925
404852,404923
404850,404919
404849,404918
404848,404916
404847,404914
404846,404913
404844,404912
404843,404911
404842,404909
404841,404908
404840,404907
404839,404906
393032,404868
404815,404823
404798,404821
404796,404820
404794,404819
404792,404817
404790,404814
404787,404813
404786,404812
404785,404811
404801,404810
404784,404809
404782,404808
404781,404807
404780,404806
404779,404805
404778,404804
404799,404803
404775,404802
404550,404783
404761,404766
404759,404765
404757,404764
404739,404754
404734,404752
404726,404751
404718,404750
404711,404749
404005,404748
404708,404747
404707,404746
404706,404745
