First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Matt,Carey,Chief Information Officer,Home Depot Inc.,Matt Carey was Appointed as Chief Information Officer at Home Depot Inc.,Atlanta; GA-based Home Depot Inc. appointed Matt Carey as Chief Information Officer.,Matt Carey was previously senior vice president and chief technology officer eBay.,Energy Savings Installed For You Installation you can trust. GUARANTEED CATEGORIES Bathroom Remodeling Exterior Beauty Flooring Home Organization Home Systems Interior Living.
Matt,Bross,Chief Technology Officer,Huawei,Matt Bross was Appointed as Chief Technology Officer at Huawei,Richardson; TX-based Huawei appointed Matt Bross as Chief Technology Officer.,Matt Bross was previously Group Chief Technology Officer at British Telecom.,Huawei is a leading telecom solutions provider. Through continuous customer-centric innovation; we have established end-to-end advantages in Telecom Network Infrastructure; Application & Software; Professional Services and Devices.
Matts,Lindoff,Chief Technology Officer,Sony Ericsson,Matts Lindoff Resigned as Chief Technology Officer at Sony Ericsson,Research Triangle Park; NC-based Sony Ericsson accepted resignation of Matts Lindoff as Chief Technology Officer.,Mats Lindoff was previously the CEO at C Technologies.,Sony Ericsson; a 50:50 joint venture of Sony Corporation and Telefonaktiebolaget LM Ericsson; was established in October 2001.
Maryann,Goebel,Chief Information Officer,Fiserv,Maryann Goebel was Appointed as Chief Information Officer at Fiserv,Brookfield; WI-based Fiserv appointed Maryann Goebel as Chief Information Officer.,Maryann Goebel was previously the Executive vice president and CIO for DHL Express in Bonn; Germany.,Fiserv; Inc. (NASDAQ: FISV) is the leading global provider of information management and electronic commerce systems for the financial services industry; driving innovation that transforms experiences for financial institutions and their customers. Ranked No. 1 on the FinTech 100 survey of top technology partners to the financial services industry; Fiserv celebrated its 25th year in 2009. 
Mary,Wagner,Chief Technology Officer,Mars Botanical,Mary Wagner was Promoted to Chief Technology Officer at Mars Botanical,Gaithersburg; MD-based Mars Botanical promoted Mary Wagner to Chief Technology Officer.,Mary Wagner was previously the Chief Technology and Quality officer at E & J Gallo Winery (Modesto; Calif.) where she was responsible for wine technology and process innovation; research and development; consumer research (both product and market) and quality and regulatory/compliance aspects of the business including sustainability.,Mars Botanical was established as a scientific division of Mars; Incorporated in 2007 to focus on research and product development involving flavanols; phytonutrients found in cocoa; tea; wine and certain fruits and vegetables.
Mary,VanLeer,Director of Information Technology Infrastructure,Arkansas lottery,Mary VanLeer was Appointed as Director of Information Technology Infrastructure at Arkansas lottery,Little Rock; AR-based Arkansas lottery appointed Mary VanLeer as Director of Information Technology Infrastructure.,Mary VanLeer was previously the director for software engineering for Sun Microsystems in Broomfield; Colo.,Welcome to Arkansas.gov! This portal was developed to help you find information and services from both state and local government offices and information relative to our state in one place.
Mary Ann,Smith,Chief Information Officer,QNB Bank,Mary Ann Smith Resigned as Chief Information Officer at QNB Bank,Quakertown; PA-based QNB Bank accepted resignation of Mary Ann Smith as Chief Information Officer.,Mary Ann Smith; Age 56; Senior Vice President/Chief Information Officer of the Bank from January 1999 to present; Senior Vice President/Operations of the Bank from January 1995 to December 1998; Vice President/Operations of the Bank from January 1988 to December 1994.,QNB Bank is a local community bank located in Quakertown; PA
Mary Ann,Lynch,Chief Information Officer,judicial branch of the Maine state government,Mary Ann Lynch was Appointed as Chief Information Officer at judicial branch of the Maine state government,Augusta; ME-based judicial branch of the Maine state government appointed Mary Ann Lynch as Chief Information Officer.,Mary Ann Lynch was previously the Vice President at Maine Yankee Atomic Power Company.,The Maine State Civil Service System covers employees of the Executive Branch of Maine State Government.
Mary Alice,Annecharico,Chief Information Officer,University Hospitals,Mary Alice Annecharico was Appointed as Chief Information Officer at University Hospitals,Cleveland; OH-based University Hospitals appointed Mary Alice Annecharico as Chief Information Officer.,Mary Alice Annecharico was previously with the University of Pennsylvania School of Medicine; where she was chief information officer for nine years.,University Hospitals; one of the nation's leading health care systems; focuses on providing compassionate; quality medical care to patients atconvenient locations- throughout Northeast Ohio.
Marwan,Fawaz,Chief Technology Officer,Charter Communications,Marwan Fawaz was Promoted to Chief Technology Officer at Charter Communications,Saint Louis; MO-based Charter Communications promoted Marwan Fawaz to Chief Technology Officer.,Marwan Fawaz joined Charter in March of 2006 as Chief Technology Officer and has more than 20 years of experience in the broadband communications industry; encompassing engineering; technical operations and business development.,Charter Communications incorporated in Delaware  in 1993. Through a series of acquisitions as well as internally financed growth; the company served 1 million customers in 1998; 3.9 million in 1999; and 6.8 million in 2002.
