First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Shawn,Melamed,Chief Technology Officer,Correlix,Shawn Melamed was Promoted to Chief Technology Officer at Correlix,New York; NY-based Correlix promoted Shawn Melamed to Chief Technology Officer.,Shawn Melamed is the founder; president and CTO at Correlix.,About UsIn today s fast pace trading environment managing trading latency is critical to seizing available market opportunities; increasing revenues; retaining customers and gaining competitive advantage.
Michael,Antin,Director of Information Technology,Checkerboard,Michael Antin was Appointed as Director of Information Technology at Checkerboard,West Boylston; MA-based Checkerboard appointed Michael Antin as Director of Information Technology.,Michael Antin was previously the Senior Director; IT Operations at Health Dialog.,About UsCheckerboard is a family owned and operated designer and printer of invitations for every single one of life's special occasions: weddings; Bar and Bat Mitzvahs; relocations; birthday parties; births; you name it.
Chris,Kolehmainen,Vice President of Digital Services,Finelight,Chris Kolehmainen was Promoted to Vice President of Digital Services at Finelight,Bloomington; IN-based Finelight promoted Chris Kolehmainen to Vice President of Digital Services.,Chris Kolehmainen was previously the director of interactive services at Finelight.,ABOUT US Finelight has been helping clients achieve their marketing goals since 1984more than 20 years.
Pablo,Calamera,Chief Technology Officer,Thumbplay,Pablo Calamera was Appointed as Chief Technology Officer at Thumbplay,New York; NY-based Thumbplay appointed Pablo Calamera as Chief Technology Officer.,Pablo Calamera was previously with Apple where he oversaw technology development for MobileMeSM; a pioneering; cloud-based data-syncing product for iPhones; PCs and Macs. As of March 8; 2010; Calamera will be based in New York; reporting to Evan Schwartz; Thumbplay CEO and Co-Founder.,About Thumbplay; Inc is the market-leading direct-to-consumer mobile entertainment company.
John,McInally,Chief Information Officer,MetroHealth System,John McInally was Appointed as Chief Information Officer at MetroHealth System,Cleveland; OH-based MetroHealth System appointed John McInally as Chief Information Officer.,John McInally was previously with CollabRx Inc.; an emerging biotech company in Palo Alto; Calif.; where he was in charge of planning; operations and financial management.,A recipient of the 2010 Premier Award for Quality; MetroHealth ranks in the top 1% of hospitals nationwide in providing the best patient care in terms of outcomes and efficiency of service.
Mark,Holmes,Chief Information Officer,Orchard Brands,Mark Holmes was Promoted to Chief Information Officer at Orchard Brands,Beverly; MA-based Orchard Brands promoted Mark Holmes to Chief Information Officer.,Mark Holmes was previously the CIO & VP of Liquidations at Orvis.,A portfolio company of Golden Gate Capital; Orchard Brands is a leading; multi-channel marketer of apparel and home products focused on serving the needs of the rapidly growing market segment of women and men above the age of fifty-five.
William,Cork,Chief Technology Officer,Fenwal,William Cork was Appointed as Chief Technology Officer at Fenwal,Lake Zurich; IL-based Fenwal appointed William Cork as Chief Technology Officer.,William Cork was previously with Northbrook; Illinois-based Nanosphere Inc. (NASDAQ: NSPH); where he was chief technology officer and vice president of research and development since 2001. ,A pioneer in transfusion medicine for more than 50 years; Fenwal continues to be one of the world's largest suppliers of advanced blood technologies.
Eric,Floehr,Chief Technology Officer,3X Systems,Eric Floehr Resigned as Chief Technology Officer at 3X Systems,Columbus; OH-based 3X Systems accepted resignation of Eric Floehr as Chief Technology Officer.,Eric Floehr was previously the Senior Software Architect at NetMap Analytics; A Unit of ISO.,3X Systems offers the only remote data backup solution with the ease; performance; and peace of mind that small and mid-sized businesses expect from modern backup solutions without the high; recurring costs of an online service provider.
Dale,Combs,Chief Technology Officer,Third Party Verification Inc.,Dale Combs Retired as Chief Technology Officer at Third Party Verification Inc.,Altamonte Springs; FL-based Third Party Verification Inc. announced retirement of Dale Combs as Chief Technology Officer.,Dale Combs was previously the President & CTO at AssureSign.,3PV provides complete third party verification services across all industries.
Aaron,Workman,Vice President of Information Technology,Republic Airways Holdings,Aaron Workman was Appointed as Vice President of Information Technology at Republic Airways Holdings,Indianapolis; IN-based Republic Airways Holdings appointed Aaron Workman as Vice President of Information Technology.,Aaron Workman; a 30-year Republic Airways veteran; has held management positions in Customer Service; Sales; and Inventory Control. Most recently; he served as director of Information Technology for Republic Airways.,Republic Airways strives to be the premier solutions provider of regional jet capacity to a diverse group of network airlines.
