First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Robert,Kerr,Chief Information Officer,Belk,Robert Kerr Retired as Chief Information Officer at Belk,Charlotte; NC-based Belk announced retirement of Robert Kerr as Chief Information Officer.,,Belk MissionThe mission of Belk is to be the leader in its markets in selling merchandise that meets customers' needs for fashion; quality; value and selection; to offer superior customer service; and to make a reasonable profit.
Michael,Laurenti,Chief Information Officer,Belk,Michael Laurenti was Appointed as Chief Information Officer at Belk,Charlotte; NC-based Belk appointed Michael Laurenti as Chief Information Officer.,,Belk MissionThe mission of Belk is to be the leader in its markets in selling merchandise that meets customers' needs for fashion; quality; value and selection; to offer superior customer service; and to make a reasonable profit.
Michael,Dubno,Chief Technology Officer,Bank of America Corp.,Michael Dubno was Appointed as Chief Technology Officer at Bank of America Corp.,Charlotte; NC-based Bank of America Corp. appointed Michael Dubno as Chief Technology Officer.,,Bank of America is one of the world's largest financial institutions; serving individual consumers; small- and middle-market businesses and large corporations with a full range of banking; investing; asset management and other financial and risk management products and services
Sam,Dunn,Chief Information Officer,Babson College,Sam Dunn was Appointed as Chief Information Officer at Babson College,Wellesley Hills; MA-based Babson College appointed Sam Dunn as Chief Information Officer.,,Babson College; located in Wellesley; Massachusetts; is recognized internationally for its entrepreneurial leadership in a changing global environment.
Chris,Miller,Chief Information Officer,Avanade,Chris Miller was Appointed as Chief Information Officer at Avanade,Seattle; WA-based Avanade appointed Chris Miller as Chief Information Officer.,,Avanade is a business technology services provider dedicated to using the Microsoft platform to help enterprises achieve profitable growth.
Kevin,Vye,Senior Vice President of Technology,Atrinsic,Kevin Vye was Appointed as Senior Vice President of Technology at Atrinsic,New York; NY-based Atrinsic appointed Kevin Vye as Senior Vice President of Technology.,,Atrinsic; Inc. is a marketer of direct-to-consumer subscription products and an Internet search-marketing agency.
Lewis,Langston,Chief Information Officer,Allied Wireless Communication,Lewis Langston was Appointed as Chief Information Officer at Allied Wireless Communication,Salem; MA-based Allied Wireless Communication appointed Lewis Langston as Chief Information Officer.,,Atlantic Tele-Network; Inc; through its subsidiaries; provides wireless and wireline telecommunications services in North America and the Caribbean.
Elizabeth,Cummings,Chief Information Officer,PrivateBancorp,Elizabeth Cummings was Promoted to Chief Information Officer at PrivateBancorp,Chicago; IL-based PrivateBancorp promoted Elizabeth Cummings to Chief Information Officer.,,At PrivateBancorp; Inc we have a simple vision: to be the bank of choice for middle market commercial and commercial real estate companies; as well as business owners; executives; entrepreneurs and families in all of the communities we serve.
James,Bennett,Chief Technology Officer,PrivateBancorp,James Bennett was Promoted to Chief Technology Officer at PrivateBancorp,Chicago; IL-based PrivateBancorp promoted James Bennett to Chief Technology Officer.,,At PrivateBancorp; Inc we have a simple vision: to be the bank of choice for middle market commercial and commercial real estate companies; as well as business owners; executives; entrepreneurs and families in all of the communities we serve.
John,Allen,Chief Information Officer,Holzer Consolidated Health Systems,John Allen was Appointed as Chief Information Officer at Holzer Consolidated Health Systems,Gallipolis; OH-based Holzer Consolidated Health Systems appointed John Allen as Chief Information Officer.,,At Holzer Health Systems you have access to the most advanced and innovative treatments in the Southeastern Ohio Valley.
Nic,Cheneweth,Vice President of Information Technology,Fellowship Technologies,Nic Cheneweth was Appointed as Vice President of Information Technology at Fellowship Technologies,Irving; TX-based Fellowship Technologies appointed Nic Cheneweth as Vice President of Information Technology.,,At Fellowship Technologies our mission is to edify God and His Kingdom by empowering the church community through advanced technology.
Martin,Heller,Vice President of Technology,Alpha Software,Martin Heller was Appointed as Vice President of Technology at Alpha Software,Burlington; MA-based Alpha Software appointed Martin Heller as Vice President of Technology.,,At Alpha Software our mission is to build cutting edge database software that enables our customers to build breakthrough applications and solve database management problems rapidly and easily.
Joe,Klimowicz,Chief Technology Officer,Aklero,Joe Klimowicz was Appointed as Chief Technology Officer at Aklero,Wayne; PA-based Aklero appointed Joe Klimowicz as Chief Technology Officer.,,At Aklero; we provide a web-based platform called Q-Close&trade; that streamlines and safeguards the mortgage process by automating the pre-closing and post-closing analysis of loan documentation.
Stephen,Dodd,Chief Financial Officer,ASTAR Air Cargo,Stephen Dodd was Promoted to Chief Financial Officer at ASTAR Air Cargo,Miami; FL-based ASTAR Air Cargo promoted Stephen Dodd to Chief Financial Officer.,,ASTAR Air Cargo is the name you trust for fast; reliable air freight service.
Wayne,Huang,Chief Technology Officer,Armorize Technologies,Wayne Huang was Promoted to Chief Technology Officer at Armorize Technologies,Santa Clara; CA-based Armorize Technologies promoted Wayne Huang to Chief Technology Officer.,,Armorize Technologies is the leading provider of integrated Web application security solutions that protect millions of websites and end-users against malware injections and drive-by downloads.
Adrian,Sannier,Chief Information Officer,Arizona State University,Adrian Sannier Resigned as Chief Information Officer at Arizona State University,Tempe; AZ-based Arizona State University accepted resignation of Adrian Sannier as Chief Information Officer.,,Arizona State University (also referred to as ASU; or Arizona State) is the largest public research university in the United States under a single administration; with a 2009 student enrollment of 68;064.
Max,Davis-Johnson,Chief Information Officer,Arizona State University,Max Davis-Johnson was Appointed as Chief Information Officer at Arizona State University,Tempe; AZ-based Arizona State University appointed Max Davis-Johnson as Chief Information Officer.,,Arizona State University (also referred to as ASU; or Arizona State) is the largest public research university in the United States under a single administration; with a 2009 student enrollment of 68;064.
Prescott,Winter,Chief Technology Officer,ArcSight,Prescott Winter was Appointed as Chief Technology Officer at ArcSight,Cupertino; CA-based ArcSight appointed Prescott Winter as Chief Technology Officer.,,ArcSight; an HP company; is a leading global provider of security and compliance management solutions that intelligently identify and mitigate cyber threat and risk for businesses and government agencies.
Ted,Cahall,Chief Technology Officer,AOL,Ted Cahall Resigned as Chief Technology Officer at AOL,New York; NY-based AOL accepted resignation of Ted Cahall as Chief Technology Officer.,,AOL is a leading global Web services company with an extensive suite of brands and offerings and a substantial worldwide audience.
Jeff,Reynar,Head of Technology for Engineering and Products,AOL,Jeff Reynar was Appointed as Head of Technology for Engineering and Products at AOL,New York; NY-based AOL appointed Jeff Reynar as Head of Technology for Engineering and Products.,,AOL is a leading global Web services company with an extensive suite of brands and offerings and a substantial worldwide audience.
Ning,Zhu,Chief Technology Officer,Analogix Semiconductor,Ning Zhu was Appointed as Chief Technology Officer at Analogix Semiconductor,Santa Clara; CA-based Analogix Semiconductor appointed Ning Zhu as Chief Technology Officer.,,Analogix Semiconductor; Inc designs and manufactures high-performance analog and mixed-signal semiconductors for the Digital Media market.
Kevin,Bender,Chief Operating Officer,American River Bankshares,Kevin Bender was Promoted to Chief Operating Officer at American River Bankshares,Rancho Cordova; CA-based American River Bankshares promoted Kevin Bender to Chief Operating Officer.,,American River Bankshares (AMRB) is the parent company of American River Bank; a community business bank serving the Greater Sacramento Area in California that operates a family of financial services providers; including North Coast Bank in Sonoma County and Bank of Amador in Amador County.
Dale,Young,Chief Information Officer,American Public University System,Dale Young was Appointed as Chief Information Officer at American Public University System,Charles Town; WV-based American Public University System appointed Dale Young as Chief Information Officer.,,American Public Education; Inc is a provider of online postsecondary education focusing on the needs of the military and public service communities.
Patrick,Thompson,Chief Information Officer,Amedisys,Patrick Thompson was Appointed as Chief Information Officer at Amedisys,Baton Rouge; LA-based Amedisys appointed Patrick Thompson as Chief Information Officer.,,Amedisys; Inc. (NASDAQ: AMED) is the nations leading health care company focused on bringing home the continuum of care. Each day Amedisys delivers personalized health care services to more than 35;000 individual patients and their families; in the comfort of patients homes.
Jamie,Thingelstad,Chief Technology Officer,Alvenda,Jamie Thingelstad was Appointed as Chief Technology Officer at Alvenda,Minneapolis; MN-based Alvenda appointed Jamie Thingelstad as Chief Technology Officer.,,Alvenda is a company thats works to create a social commerce channel on Facebook as well as numerous other websites.
