First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
William,Benoist,Vice President of Information Services,Marcus & Millichap Real Estate Investment Services,William Benoist was Appointed as Vice President of Information Services at Marcus & Millichap Real Estate Investment Services,Encino; CA-based Marcus & Millichap Real Estate Investment Services appointed William Benoist as Vice President of Information Services.,William Benoistjoined Marcus & Millichap's information services department as a senior technician in 1997. In 2000; he became manager of the firm's help desk. Benoist has been serving as the director of desktop services since 2006,Marcus & Millichap Real Estate Investment Services is the nation's largest real estate investment services firm.
Jack  ,Goldenberg ,Chief Technology Officer,Meredith Corporation,Jack   Goldenberg  was Appointed as Chief Technology Officer at Meredith Corporation,Des Moines; IA-based Meredith Corporation appointed Jack   Goldenberg  as Chief Technology Officer.,While with Dow Jones; Goldenberg launched digital products Dow Jones Investment Banker and Dow Jones Adviser; as well as leading the media company’s technology team and the introduction of state-of-the-art publishing technology. ,Meredith Corporation (www.meredith.com) is the leading media and marketing company serving American women. 
Wheeler,Coleman,Vice President and Chief Technology Officer,Health Care Service Corporation,Wheeler Coleman was Appointed as Vice President and Chief Technology Officer at Health Care Service Corporation,Chicago; IL-based Health Care Service Corporation appointed Wheeler Coleman as Vice President and Chief Technology Officer.,Wheeler G. Coleman holds degrees from NIU and the University of Notre Dame; and brings more than 25 years of experience and leadership in information technology to his role as vice president and chief technology officer at Health Care Service Corporation (HCSC); where he manages more than 100 employees in four states.,The largest customer-owned health insurer in the United States and fourth largest overall; Health Care Service Corporation (HCSC) operates through its Blue Cross and Blue Shield plans in Illinoisnew window icon; New Mexiconew window icon; Oklahomanew window icon; and Texasnew window icon; and several subsidiaries to offer a variety of health and life insurance products and related services to employers and individuals.
Wesley,Dean,Vice President of Information Technology,M3 Hotel Accounting,Wesley Dean was Appointed as Vice President of Information Technology at M3 Hotel Accounting,Gainesville; GA-based M3 Hotel Accounting appointed Wesley Dean as Vice President of Information Technology.,Wesley Dean was previously the Senior Vice President for Product Development for Davis & Henderson; LTD. of Toronto; Ontario; Canada and Chief Operating Officer for Cyence International of Burlington; Ontario; Canada.,M3 Accounting services is a market leader in hotel accounting software; with over 2;000 properties online. 
Wendy,Sadeh,Chief Technology Officer,Bridger Commercial Funding,Wendy Sadeh was Promoted to Chief Technology Officer at Bridger Commercial Funding,Mill Valley; CA-based Bridger Commercial Funding promoted Wendy Sadeh to Chief Technology Officer.,Wendy Sadeh was previously Vice President of Technology at Bridger Commercial Funding.,Bridger Commercial Funding LLC provides commercial real estate capital and balance sheet management services to banking industry in the United States.
Weiling,Tsao,Chief Technology Officer,Newport Digital Technologies,Weiling Tsao was Appointed as Chief Technology Officer at Newport Digital Technologies,Newport Beach; CA-based Newport Digital Technologies appointed Weiling Tsao as Chief Technology Officer.,Weiling Tsao was previously VP; Strategic Sales and Business Development at ATI TECHNOLOGIES INC.,Newport Digital Technologies; Inc (www.newportdt.com) is a technology solutions driven company organized to focus on serving four of the fastest-emerging businesses in the technology space - Digital Signage & LED Lighting; RFID (radio-frequency identification); and WiMax solutions.
Wayne,Reavill,Chief Information Officer,WebHostingBuzz,Wayne Reavill was Appointed as Chief Information Officer at WebHostingBuzz,Wilmington; DE-based WebHostingBuzz appointed Wayne Reavill as Chief Information Officer.,Wayne Reavill was previously in Sales at Quality Van Sales,Started in 2002; WebHostingBuzz provides 500;000 websites with single domain hosting; business class hosting; VPS hosting; managed dedicated servers; and high availability clustered solutions.
Warren,Lee,Chief Technology Officer,NeoNova Network Services,Warren Lee was Promoted to Chief Technology Officer at NeoNova Network Services,Morrisville; NC-based NeoNova Network Services promoted Warren Lee to Chief Technology Officer.,Warren Lee was previously the founder and COO of NKO Inc.,NeoNova is the industry leader in managed broadband services for rural telecommunications providers; offering advanced network management services; premium integrated subscriber services; and superior customer support and professional services.
Walter,Copan,Chief Technology Officer,Clean Diesel Technologies Inc.,Walter Copan Resigned as Chief Technology Officer at Clean Diesel Technologies Inc.,Stamford; CT-based Clean Diesel Technologies Inc. accepted resignation of Walter Copan as Chief Technology Officer.,Walter Copan was previously formerly an executive vice president.,Cleantech emissions reduction company engaged in the development of solutions to reduce emissions; increase energy efficiency and lower the carbon intensity of diesel engine applications.
Walter,Chappas,Chief Technology Officer,Petrobeam; Inc.,Walter Chappas was Promoted to Chief Technology Officer at Petrobeam; Inc.,Raleigh; NC-based Petrobeam; Inc. promoted Walter Chappas to Chief Technology Officer.,Walter Chappas was previously Technical Advisor at PetroBeam; Inc.,PetroBeam; Inc. is the leading developer of electron beam processing techniques to upgrade heavy oil  and bitumen.
Daniel,Walsh,Chief Information Officer,The Rothman Institute,Daniel Walsh was Appointed as Chief Information Officer at The Rothman Institute,Philadelphia; PA-based The Rothman Institute appointed Daniel Walsh as Chief Information Officer.,Walsh most recently ran the information-technology division for Apollo Health Street Inc.; Conshohocken.,The Rothman Institute is affiliated with Hospitals consisting of state-of-the-art facilities befitting world-class orthopaedic centers. Everything; from clinical and surgical centers; a fully equipped imaging area (with the latest MRI equipment) and a physical therapy center; to a pain management area; an orthotic center and research laboratories; libraries and an educational center is all under one roof.
Wallace,Lafferty,Vice President of Information Technology,Vestas Wind Systems,Wallace Lafferty was Appointed as Vice President of Information Technology at Vestas Wind Systems,Portland; OR-based Vestas Wind Systems appointed Wallace Lafferty as Vice President of Information Technology.,Wally Lafferty was previously Program Manager at ProKarma; Inc.,A world that; if we have our way; will be powered by far; far more than the predicted 10% of electricty by wind by 2020.
Wallace,Parce,Chief Technology Officer,QD Soleil (Nanosys),Wallace Parce was Appointed as Chief Technology Officer at QD Soleil (Nanosys),Palo Alto; CA-based QD Soleil (Nanosys) appointed Wallace Parce as Chief Technology Officer.,Wallace Parce was previously the CTO of Nanosys.,QD Soleil is a division of Nanosys Inc. focused on the use of proprietary nanotechnology in solar panel cell designs.
Wade,Wright,Chief Technology Officer,RemitDATA,Wade Wright was Appointed as Chief Technology Officer at RemitDATA,Memphis; TN-based RemitDATA appointed Wade Wright as Chief Technology Officer.,Wade Wright was previously VP of Development at Accuro Healthcare Solutions.,Serving over 75;000 providers; RemitDATA is the leader in real-time; SaaS-based reimbursement and utilization solutions; providing transparent data; actionable insights; comparative analysis and EOB/digital document management to outpatient healthcare providers through channel partners.
Wade,Hennessey,Chief Technology Officer,Kontiki,Wade Hennessey was Appointed as Chief Technology Officer at Kontiki,Sunnyvale; CA-based Kontiki appointed Wade Hennessey as Chief Technology Officer.,Wade Hennessey was the co-founder of Kontiki.,Kontiki's Enterprise Video Platform  delivers business video every day to hundreds of thousands of global workers in many of the world's largest companies in the financial services; retail; technology; telecommunications and manufacturing market sectors. Kontiki's patented software as a service-based Enterprise Content Delivery Networking platform deploys in days and scales to all employees while enabling enterprise-grade management and control. 
David,Vordick,VP & Chief Information Officer,CNA Corporation,David Vordick was Appointed as VP & Chief Information Officer at CNA Corporation,Alexandria; VA-based CNA Corporation appointed David Vordick as VP & Chief Information Officer.,Vordick began his career as a control system engineer in 1992 with Computerized Processes Unlimited; Inc.; Metairie; LA; then moved to All-Control Systems; Inc.; in West Chester PA. From 1997-1999; he held several positions including computer systems management group leader at the Lawrence Livermore National Laboratory in Livermore; CA. He joined USEC in 1999 as a software engineering manager; and following several promotions was named the company's CIO in 2005.,"CNA's objective; empirical research and analysis helps decision makers develop sound policies; make better-informed decisions; and manage programs more effectively. We take a multi-disciplinary; field-based ""real world"" approach to our work; and provide public-sector organizations with the tools they need to tackle the complex challenges of making government more efficient and keeping our country safe and strong."
Vivek,Kundra,Chief Information Officer,White House,Vivek Kundra was Appointed as Chief Information Officer at White House,Washington; DC-based White House appointed Vivek Kundra as Chief Information Officer.,Vivek Kundra was previously the Chief Technology Officer for the District of Columbia.,"The White House Internship Programs mission is to make the ""Peoples House"" accessible to future leaders all around the nation and cultivate and prepare those devoted to public service for future leadership opportunities."
Virginia ,Guthrie,Chief Information Officer,Dr Pepper Snapple Group,Virginia  Guthrie was Appointed as Chief Information Officer at Dr Pepper Snapple Group,Plano; TX-based Dr Pepper Snapple Group appointed Virginia  Guthrie as Chief Information Officer.,Virginia Guthrie was preivously the CIO at Molson Coors Brewing Company.,Dr Pepper Snapple Group (NYSE: DPS) is one of the largest beverage companies in the Americas.
Vincent,Marin,Chief Information Officer,Huron Consulting Group,Vincent Marin was Appointed as Chief Information Officer at Huron Consulting Group,Chicago; IL-based Huron Consulting Group appointed Vincent Marin as Chief Information Officer.,Vincent Marin is a consulting industry veteran with more than 20 years of professional services experience working in various IT roles where he helped companies with their information management organization; and provided integral support by carrying out the IT strategy and implementation. ,Huron Consulting Group helps clients in diverse industries improve performance; comply with complex regulations; reduce costs; recover from distress; leverage technology; and stimulate growth.
Vincent,Ioia,Chief Information Officer,American Stock Transfer & Trust Company,Vincent Ioia was Appointed as Chief Information Officer at American Stock Transfer & Trust Company,New York; NY-based American Stock Transfer & Trust Company appointed Vincent Ioia as Chief Information Officer.,Vincent Ioia was previously the Senior Practice Consultant at EMC.,American Stock Transfer & Trust Company; LLC  provides stock transfer and employee plan services to over 2;800 public companies and maintains approximately 6;000 issues.
Vincent,Cohan,Chief Technology Officer,AXA Financial; Inc.,Vincent Cohan was Appointed as Chief Technology Officer at AXA Financial; Inc.,Charlotte; NC-based AXA Financial; Inc. appointed Vincent Cohan as Chief Technology Officer.,Vincent Cohan was previously the Head; Technology Operations; Americas & Offshore at Thomson Reuters.,In business since 1859; AXA Equitable Life Insurance Company (formerly The Equitable Life Assurance Society of the United States) is a leading financial protection company and a premier provider of life insurance; annuity; and investment products and services.
Vince,Kovarik,Chief Technology Officer,PrismTech,Vince Kovarik was Appointed as Chief Technology Officer at PrismTech,Woburn; MA-based PrismTech appointed Vince Kovarik as Chief Technology Officer.,Vince Kovarik was previously the Technical product manager for the Domain Management ToolKit (dmTK); one of the first SCA-compliant COTS products,PrismTech is a global leader in standards-based; performance-critical middleware. 
Vikram,Simha,Chief Technology Officer,Vital Images,Vikram Simha was Appointed as Chief Technology Officer at Vital Images,Minnetonka; MN-based Vital Images appointed Vikram Simha as Chief Technology Officer.,Vikram Simha was previously the CTO & SVP at Terarecon; Inc.,Vital Images is the industry leader in advanced visualization for multi modal imaging in both radiology and cardiology.
Vikram,Saksena,Chief Technology Officer,Tellabs,Vikram Saksena was Appointed as Chief Technology Officer at Tellabs,Naperville; IL-based Tellabs appointed Vikram Saksena as Chief Technology Officer.,Vikram Saksena was previously the Chief Technology Officer at Sonus Networks. ,Tellabs innovates to deliver the mobile Internet and help our customers succeed.
Vikram,Saksena,Chief Technology Officer,Sonus Networks; Inc.,Vikram Saksena Resigned as Chief Technology Officer at Sonus Networks; Inc.,Westford; MA-based Sonus Networks; Inc. accepted resignation of Vikram Saksena as Chief Technology Officer.,Vikram Saksena was previously Chief Scientist at Sonus Networks.,Sonus Networks Inc.; providing network transformation through IP communications technology; is leading the evolution of communications networks to support the multi-media; multi-device demands of todays digital lifestyle.
Vikram,Pattarkine,Chief Technology Officer,Originoil Inc.,Vikram Pattarkine was Appointed as Chief Technology Officer at Originoil Inc.,Los Angeles; CA-based Originoil Inc. appointed Vikram Pattarkine as Chief Technology Officer.,Vikram Pattarkine was previously a Senior vice president at Brinjac Engineering; Inc.,OriginOil; Inc. is developing a breakthrough technology that will transform algae; the most promising source of renewable oil; into a true competitor to petroleum.
Vikhyath,Kodipelli,Chief Technology Officer,benaissance,Vikhyath Kodipelli was Promoted to Chief Technology Officer at benaissance,Omaha; NE-based benaissance promoted Vikhyath Kodipelli to Chief Technology Officer.,Vikhyath Kodipelli received his M.S. in Management Information Systems from the University of Nebraska at Omahas Peter Kiewit Institute and his MBA in Finance from Osmania University in India.,Founded in 2003; Benaissance has grown into a leader in Software as a Service solutions for COBRA and non COBRA administrators across the nation.
Vijay,Ravindran,Chief Digital Officer,The Washington Post,Vijay Ravindran was Appointed as Chief Digital Officer at The Washington Post,Washington; DC-based The Washington Post appointed Vijay Ravindran as Chief Digital Officer.,Vijay Ravindran was previously the Chief Technology Officer at Catalist.,The Washington Post is the authority on Washington and its impact on the way the world does business and lives their lives.
Vijay,Mehra,Executive Vice President,Patni,Vijay Mehra was Appointed as Executive Vice President at Patni,Cambridge; MA-based Patni appointed Vijay Mehra as Executive Vice President.,Vijay Mehra was previously Global CIO at Essar Group of Companies.,Patni Computer Systems Ltd. (Patni) (BSE: PATNI COMPUT; NSE: PATNI; NYSE: PTI) is one of the leading global providers of Information Technology services and business solutions.
Buddy,Fain,Chief Information Officer,The University of Tennessee Medical Center,Buddy Fain was Appointed as Chief Information Officer at The University of Tennessee Medical Center,Knoxville; TN-based The University of Tennessee Medical Center appointed Buddy Fain as Chief Information Officer.,vice president and chief information officer ,The University of Tennessee Medical Center is a 602-bed licensed facility.
Vic,Herrera,Chief Technology Officer,DTT Surveillance,Vic Herrera was Appointed as Chief Technology Officer at DTT Surveillance,Los Angeles; CA-based DTT Surveillance appointed Vic Herrera as Chief Technology Officer.,Vic Herrera worked at Interaccess in Chicago; which was acquired in 1999; as well as with Divines Senior Systems Engineering group. He started with DTT 6 years ago when it had just 25 employees and has played a major role in its continued growth year after year.,Headquartered in Los Angeles; California; DTT provides Digital Video Surveillance solutions for the Restaurant and Hospitality industries. DTT was founded in 1999 by Sam Naficy; leveraging the power of emerging digital technology to support the needs of a broad base of clientele.
Venky,Rangachari,Chief Technology Officer,Wyndham Hotel Group,Venky Rangachari was Appointed as Chief Technology Officer at Wyndham Hotel Group,Parsippany; NJ-based Wyndham Hotel Group appointed Venky Rangachari as Chief Technology Officer.,Venky Rangachari was previously the CIO at Starcite; Inc.,As one of the world's largest hospitality companies; Wyndham Worldwide offers individual consumers and business-to-business customers a broad suite of hospitality products and services across various accommodation alternatives and price ranges through its premier portfolio of world-renowned brands.
