First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Daniel,Golder,Chief Information Officer,Oklahoma Foundation for Medical Quality,Daniel Golder was Appointed as Chief Information Officer at Oklahoma Foundation for Medical Quality,Oklahoma City; OK-based Oklahoma Foundation for Medical Quality appointed Daniel Golder as Chief Information Officer.,Daniel Golder was previously Director of IT at Wayne State University Physician Group.,For 35 years; Oklahoma Foundation for Medical Quality; an independent; not-for-profit organization; has played an integral role in improving health care and improving lives in Oklahoma. 
Daniel,Collins,Chief Technology Officer,Jasper Wireless,Daniel Collins was Appointed as Chief Technology Officer at Jasper Wireless,Sunnyvale; CA-based Jasper Wireless appointed Daniel Collins as Chief Technology Officer.,Daniel Collins was previously the Vice President of Fixed Mobile Convergence at Alcatel North America.,The Jasper Wireless platform enables network operators to quickly and efficiently service the M2M market; and for their M2M customers to optimally run their connected device businesses.
Daniel,Clifford,Chief Information Officer,DynCorp International,Daniel Clifford was Appointed as Chief Information Officer at DynCorp International,Falls Church; VA-based DynCorp International appointed Daniel Clifford as Chief Information Officer.,Daniel Clifford was previously CIO at Young America., DynCorp International is a multifaceted; global enterprise that provides innovative solutions to the diverse technology and professional services needs of government and commercial industry worldwide.
Daniel,Beveridge,Chief Technology Officer,Virtera,Daniel Beveridge was Appointed as Chief Technology Officer at Virtera,New York; NY-based Virtera appointed Daniel Beveridge as Chief Technology Officer.,Daniel Beveridge was previously the Senior Solutions Architect at Foedus.,VIRTERA is an independent Information Technology (IT) professional services and consulting firm delivering virtualization technology solutions and services to companies nationwide.
Daniel,Acton,Chief Information Officer and Chief Technology Off,Virgin Mobile USA,Daniel Acton was Appointed as Chief Information Officer and Chief Technology Off at Virgin Mobile USA,Walnut Creek; CA-based Virgin Mobile USA appointed Daniel Acton as Chief Information Officer and Chief Technology Off.,Daniel Acton was previously a Partner in managing large; complex programs for global business services at IBM.,Virgin Mobile USA offers more than 5 million customers control; flexibility and choice through Virgin Mobile's Plans Without Annual Contracts; with coverage powered by the Nationwide Sprint Network.
Dan,Stoneman,Vice President of Information Technology,Bridgepoint Education,Dan Stoneman was Promoted to Vice President of Information Technology at Bridgepoint Education,San Diego; CA-based Bridgepoint Education promoted Dan Stoneman to Vice President of Information Technology.,Dan Stoneman was previously the Founder and President at Stoneman Systems Group.,Bridgepoint Education offers innovative approaches to the challenges faced in higher education.
Dan,Speicher,Chief Information Officer,Hughes Telematics,Dan Speicher was Appointed as Chief Information Officer at Hughes Telematics,Atlanta; GA-based Hughes Telematics appointed Dan Speicher as Chief Information Officer.,Dan Speicher was previously the CTO at infoUSA.,Hughes Telematics; Inc. (HTI) is a leader in implementing the next generation of connected services for the automobile.
Dan,Shoemaker,Chief Technology Officer,Fate Therapeutics; Inc.,Dan Shoemaker was Appointed as Chief Technology Officer at Fate Therapeutics; Inc.,La Jolla; CA-based Fate Therapeutics; Inc. appointed Dan Shoemaker as Chief Technology Officer.,Dan Shoemaker was previously the Chief scientific officer of ICxBiosystems.,Fate Therapeutics is interrogating stem cell biology to develop therapeutics based on modulating cell  fate and to enable a new drug discovery paradigm with the Companys proprietary induced-pluripotent  stem (iPS) cell technology.
Dan,Schulz,Chief Information Officer,SmartyPig,Dan Schulz was Promoted to Chief Information Officer at SmartyPig,Des Moines; IA-based SmartyPig promoted Dan Schulz to Chief Information Officer.,Dan Schulz was previously Director of Information Technology at SmartyPig. Education,SmartyPig is an Internet bank with a social networking twist.
Dan,Priest,Chief Information Officer,Toyota Financial Services,Dan Priest was Appointed as Chief Information Officer at Toyota Financial Services,Torrance; CA-based Toyota Financial Services appointed Dan Priest as Chief Information Officer.,Dan Priest was previously Principal at Booz & Co.,Toyota Financial Services is a leading provider of automotive financial services; offering an extensive line of financing plans and vehicle and payment protection products to Toyota customers and dealers in the U.S.
Dan,Nicolaescu,Chief Information Officer,Schenectady County Community College,Dan Nicolaescu was Promoted to Chief Information Officer at Schenectady County Community College,Schenectady; NY-based Schenectady County Community College promoted Dan Nicolaescu to Chief Information Officer.,Dan Nicolaescu has been a member of the adjunct faculty since 2006.,SCCC offers more than 40 transfer; career; and certificate programs that provide a strong foundation for a new career.
Dan,Kornick,Chief Information Officer,Wyndham Hotel Group,Dan Kornick was Promoted to Chief Information Officer at Wyndham Hotel Group,Parsippany; NJ-based Wyndham Hotel Group promoted Dan Kornick to Chief Information Officer.,Dan Kornick served more than 15 years in a variety of roles throughout the larger Wyndham Worldwide organization; including; most recently; senior vice president of Global Applications Development for Wyndham Exchange & Rentals; where he was integral in the company?s efforts to transform the RCI.com site and enhance the member vacation planning experience.,Wyndham Hotel Group; part of the Wyndham Worldwide family of companies (NYSE: WYN); encompasses nearly 7;200 hotels and approximately 607;000 rooms under the hotel brands: Wyndham Hotels and Resorts; Ramada; Days Inn; Super 8; Wingate by Wyndham; Baymont Inn & Suites; Microtel Inns & Suites; Hawthorn Suites by Wyndham; TRYP by Wyndham; Howard Johnson; Travelodg  and Knights In.
Dan,Kehoe,Chief Technology Officer,Preparis,Dan Kehoe was Promoted to Chief Technology Officer at Preparis,Atlanta; GA-based Preparis promoted Dan Kehoe to Chief Technology Officer.,Dan Kehoe was previously Founder/Owner at TeamBuilder Software.,Preparis is a global business preparedness company. 
Dan,Hayes,Chief Technology Officer,J.G. Wentworth,Dan Hayes was Appointed as Chief Technology Officer at J.G. Wentworth,Bryn Mawr; PA-based J.G. Wentworth appointed Dan Hayes as Chief Technology Officer.,Dan Hayes was previously Chief Information Officer for Storeroom Solutions.,J.G. Wentworth is the nation's largest purchaser of future payments; offering a lump sum of cash to individuals who hold assets in the form of structured settlements and annuities.
Dan,Garrow,Chief Information Officer,Oneida Indian Nation,Dan Garrow was Appointed as Chief Information Officer at Oneida Indian Nation,Verona; NY-based Oneida Indian Nation appointed Dan Garrow as Chief Information Officer.,Dan Garrow was previously the CIO at Oneida Indian Nation.,Known as the fledgling United States first allies; the Oneidas played a key role in the birth of this Nation; and have overcome numerous challenges and hardships.
Dan,Croft,Director of Technology Services,TRAFFIQ,Dan Croft was Appointed as Director of Technology Services at TRAFFIQ,New York; NY-based TRAFFIQ appointed Dan Croft as Director of Technology Services.,Dan Croft was previously the Manager of Business Solutions at Synergy Corporate Technologies,TRAFFIQ (www.traffiq.com) is an end to end digital media planning; buying and management platform.
