First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
Ryan,Boone,Chief Information Officer,Dollar General Corporation,Ryan Boone was Appointed as Chief Information Officer at Dollar General Corporation,Goodlettsville; TN-based Dollar General Corporation appointed Ryan Boone as Chief Information Officer.,Ryan Boone was previously the CIO of Yum! Brands.,Dollar General Corporation is one of the largest general merchandise ventures which operates over 8;260 value discount retailer outlets in over 35 states.
Rusty,Andrews,Chief Information Officer,Wastequip,Rusty Andrews was Appointed as Chief Information Officer at Wastequip,Cleveland; OH-based Wastequip appointed Rusty Andrews as Chief Information Officer.,Rusty Andrews previous experience includes roles as director of information systems/chief information officer at Coca-Cola Bottling Company and most recently; senior vice president of hosting and chief information officer at Titan Technology Partners. Andrews has a bachelor?s degree in business from Appalachian State University.,Wastequip is a world leader in the manufacturing of waste handling equipment. With manufacturing facilities across the United States; as well as facilities in Mexico and Canada; the Company serves all facets of the waste industry as a single source supplier for top performing products. The Company prides itself on a solid reputation for quality products and service. For more information on Wastequip; visit www.wastequip.com.
Russell,Roundtree,Vice President of Technology,Global Geophysical Services ,Russell Roundtree was Appointed as Vice President of Technology at Global Geophysical Services ,Houston; TX-based Global Geophysical Services  appointed Russell Roundtree as Vice President of Technology.,Russell Roundtree's 25-year career started in surface seismic processing technology; progressed into petrophysics; hydraulic fracturing; and reservoir characterization and most recently; working in microseismic monitoring. Prior to joining Halliburton's Pinnacle organization in 2006; as Fracture Diagnostics Manager where he designed and managed technologies for integrated reservoir monitoring and fracture mapping; he worked for Landmark Graphics in Denver; Houston and Caracas. ,Global Geophysical Services; headquartered in Houston; TX; provides an integrated suite of seismic data solutions to the global oil and gas industry including high-resolution RG-3D Reservoir Grade(TM) seismic data acquisition; microseismic monitoring; seismic data processing and interpretation services; and Multi Client data products.
Russell,Bostick,Executive Vice President of Technology and Operati,Conseco Insurance Group,Russell Bostick was Appointed as Executive Vice President of Technology and Operati at Conseco Insurance Group,Carmel; IN-based Conseco Insurance Group appointed Russell Bostick as Executive Vice President of Technology and Operati.,Russell Bostick was previously the CTO at Chase Insurance.,CNO was incorporated in 1979; began operations in 1982; became a public company as Conseco; Inc. in 1985 and changed its name to CNO Financial Group; Inc. in 2010.
Russel,Davis,Chief Technology Officer,Communication Intelligence Corp,Russel Davis Resigned as Chief Technology Officer at Communication Intelligence Corp,Redwood Shores; CA-based Communication Intelligence Corp accepted resignation of Russel Davis as Chief Technology Officer.,Russel L. Davis rejoined the Company as Chief Product Officer in August 2005 and now serves as its Chief Technology Officer and Vice President of Product Development. He served as CTO of SiVault Systems; from November 2004 to August 2005. Mr. Davis originally joined CIC in May of 1997 and was appointed Vice President of Product Development & Support in October of 1998; a position he held until he left the Company in November 2004.,Over the past several years; CIC has emerged as the leading supplier of electronic signature solutions within the Financial Services Industry by enabling enterprises to fully execute Business Process Automation initiatives resulting in truly paperless workflow and legally binding electronic transactions.
Russ,Pearlman,Chief Technology Officer,Merkle,Russ Pearlman was Appointed as Chief Technology Officer at Merkle,Columbia; MD-based Merkle appointed Russ Pearlman as Chief Technology Officer.,Russ Pearlman was previously with Capgemini; where he led the Digital Content Services practice working with some of the largest and most recognized names in the entertainment and publishing industries. ,Merkle is the nation's largest and fastest growing independent customer relationship marketing agency. For more than 20 years; Fortune 1000 companies and leading nonprofit organizations have partnered with Merkle to maximize the value of their customer portfolios. 
Russ,Grant,Director of Technology,OcuCue LLC,Russ Grant was Appointed as Director of Technology at OcuCue LLC,Vero Beach; FL-based OcuCue LLC appointed Russ Grant as Director of Technology.,Russ Grant was previously the account manager with SITA,OcuCue LLC is the leading provider of IP networking monitoring using visual analytics solutions from Visual Cue Technologies LLC.
Russell,Dietz,Chief Technology Officer,SafeNet; Inc.,Russell Dietz was Appointed as Chief Technology Officer at SafeNet; Inc.,Belcamp; MD-based SafeNet; Inc. appointed Russell Dietz as Chief Technology Officer.,Russ Dietz was previously the VP & Chief Technology Officer at Hifn; Inc.,Founded in 1983; SafeNet is a global leader in information security. SafeNet protects its customers most valuable assets; including identities; transactions; communications; data and software licensing; throughout the data lifecycle.
Ruark,Chick,Information Technology Advisory Board,Louisiana Information Technology Advisory Board,Ruark Chick was Appointed as Information Technology Advisory Board at Louisiana Information Technology Advisory Board,Baton Rouge; LA-based Louisiana Information Technology Advisory Board appointed Ruark Chick as Information Technology Advisory Board.,Ruark Chick was previously the Manager of Information Technology at Jones; Walker; Waechter; Poitevent; Carr & Denee; L.L.P.,Secretary of State; Powers and Duties Section 7. There shall be a Department of State. The secretary of state shall head the department and shall be the chief election officer of the state.
Roy,Whitney,Chief Technology Officer,The U.S. Department of Energy's Thomas Jefferson National Accelerator Facility,Roy Whitney was Appointed as Chief Technology Officer at The U.S. Department of Energy's Thomas Jefferson National Accelerator Facility,Newport News; VA-based The U.S. Department of Energy's Thomas Jefferson National Accelerator Facility appointed Roy Whitney as Chief Technology Officer.,Roy Whitney was previously teaching physics and conducted research at the University of Massachusetts-Amherst.,Jefferson Lab is one of 17 Department of Energy national research laboratories and facilities.
Roy,Soto,Chief Technology Officer,Department of Information Technology; State of New Mexico,Roy Soto Resigned as Chief Technology Officer at Department of Information Technology; State of New Mexico,Santa Fe; NM-based Department of Information Technology; State of New Mexico accepted resignation of Roy Soto as Chief Technology Officer.,Roy Soto was appointed as the state's chief information officer in 2004. Soto became cabinet secretary when the information technology agency was established last year.,State of New Mexico - New Mexico is a state located in the southwestern region of the United States. With a population density of 16 per square mile; New Mexico is the sixth- most sparsely inhabited U.S. state
Roy,Chirdo,Chief Technology Officer,Stage 2 Networks,Roy Chirdo was Appointed as Chief Technology Officer at Stage 2 Networks,New York; NY-based Stage 2 Networks appointed Roy Chirdo as Chief Technology Officer.,Roy Chirdo was previously the Vice President of Carrier Services at M5 Networks.,Stage 2 is a New York-based converged network services provider that offers a robust and redundant network with connectivity; quality of service and local number portability available across the country and; often; around the world; with CLEC capabilities in the New York metro market.
Ronald,Kraemer,Chief Information Officer,University of Notre Dame,Ronald Kraemer was Appointed as Chief Information Officer at University of Notre Dame,Notre Dame; IN-based University of Notre Dame appointed Ronald Kraemer as Chief Information Officer.,Ronald Kraemer was most recently at the University of Wisconsin; most recently as chief information officer and vice provost for information technology.,The University of Notre Dameis a private Catholic research university located in Notre Dame; an unincorporated community northeast of the city of South Bend; in St. Joseph County; Indiana; United States - as are Holy Cross College and Saint Mary's College.
Ronald,DePoalo,Chief Information Officer,Fidelity Investments,Ronald DePoalo was Appointed as Chief Information Officer at Fidelity Investments,Boston; MA-based Fidelity Investments appointed Ronald DePoalo as Chief Information Officer.,Ronald DePoalo was previously the Managing director and the chief technology officer for Merrill Lynch Global Wealth Management.,Fidelity was founded in 1946 and is one of the worlds largest providers of financial services.
Ronald,Bechtold,Chief Information Officer,Office of the Secretary of Defense Networks,Ronald Bechtold was Appointed as Chief Information Officer at Office of the Secretary of Defense Networks,Washington; DC-based Office of the Secretary of Defense Networks appointed Ronald Bechtold as Chief Information Officer.,Ronald Bechtold was previously the director; Army Architecture Integration Cell; Department of the Army; Washington; D.C.,Department of Defense Network Information Center provides information and services that are mission critical to the operation of the worldwide IP router Defense Information Systems Network (DISN) and other DoD sponsored networks.
Ron,Perry,Chief Technology Officer,WorkLight,Ron Perry was Appointed as Chief Technology Officer at WorkLight,New York; NY-based WorkLight appointed Ron Perry as Chief Technology Officer.,Ron Perry was previously led the solutions group at Mobixell Networks.,WorkLight is a leading mobile application platform for smartphones; tablets and beyond.
Ronald,Louks,Chief Technology Officer,Sony Ericsson,Ronald Louks was Promoted to Chief Technology Officer at Sony Ericsson,Research Triangle Park; NC-based Sony Ericsson promoted Ronald Louks to Chief Technology Officer.,Ron Louks was previously the VP Head of Technology and Research America's at Sony Ericsson.,Sony Ericsson; a 50:50 joint venture of Sony Corporation and Telefonaktiebolaget LM Ericsson; was established in October 2001.
Ron,James,Chief Information Officer,Main Street America Group,Ron James was Appointed as Chief Information Officer at Main Street America Group,Keene; NH-based Main Street America Group appointed Ron James as Chief Information Officer.,Ron James was previously the Vice president and global account executive at Computer Sciences Corporation (CSC).,With roots dating back to 1923; The Main Street America Group is a super regional insurance company that operates six property-casualty insurance carriers: NGM Insurance Company; Old Dominion Insurance Company; Main Street America Assurance Company; MSA Insurance Company; Great Lakes Casualty Insurance Company and Grain Dealers Mutual Insurance Company.
