First Name,Last Name,Title,Company Name,Headline,What Happened,About Person,About Company
George,Jackson,Chief Information Officer,Triad Guaranty Inc.,George Jackson was Appointed as Chief Information Officer at Triad Guaranty Inc.,Winston Salem; NC-based Triad Guaranty Inc. appointed George Jackson as Chief Information Officer.,George Jackson was previously the Vice President of Information Services at Triad.,TGIC provides private mortgage insurance to residential mortgage lenders; including mortgage bankers; mortgage brokers; commercial banks; and savings institutions.
Darren,Wesemann,Chief Technology Officer,SunGard Higher Education,Darren Wesemann was Appointed as Chief Technology Officer at SunGard Higher Education,Malvern; PA-based SunGard Higher Education appointed Darren Wesemann as Chief Technology Officer.,Darren Wesemann was previously the president of SunGard.,SunGard Higher Education provides colleges; universities and foundations worldwide with software and services that support more flexible and capable education environments. 
Deborah,Dinsmore,Chief Information Officer,Sterling Bank,Deborah Dinsmore was Promoted to Chief Information Officer at Sterling Bank,Houston; TX-based Sterling Bank promoted Deborah Dinsmore to Chief Information Officer.,Prior to joining Sterling Bank; Ms. Dinsmore was an information technology consultant for banks throughout Texas.  She holds an AAS degree from Alvin Community College.,Sterling Bancshares; Inc is a Houston-based holding company providing financial services and mortgage lending to consumers; small businesses and corporations.
Wallis,McMath,Chief Information Officer,Sterling Bank,Wallis McMath Resigned as Chief Information Officer at Sterling Bank,Houston; TX-based Sterling Bank accepted resignation of Wallis McMath as Chief Information Officer.,McMath joined Sterling Bank in 2006 after serving as chief information officer for First American Bank in Bryan and overseeing the conversion of First American's applications and customer data to Citibank.,Sterling Bancshares; Inc is a Houston-based holding company providing financial services and mortgage lending to consumers; small businesses and corporations.
Allan,Frank,Chief Information Officer,City of Philadelphia,Allan Frank was Appointed as Chief Information Officer at City of Philadelphia,Philadelphia; PA-based City of Philadelphia appointed Allan Frank as Chief Information Officer.,Allan Frank was previously the President at The AKA Group; LLC.,Philadelphia is the largest city in Pennsylvania; sixth-most-populous city in the United States and the fifty-first most populous city in the world.
Bruce,Petryshak,Chief Information Officer,Middle Tennessee State University,Bruce Petryshak was Appointed as Chief Information Officer at Middle Tennessee State University,Murfreesboro; TN-based Middle Tennessee State University appointed Bruce Petryshak as Chief Information Officer.,Bruce Petryshak was previously the Chief Information Officer at the Bowling Green State University,Middle Tennessee State University unites the closeness of a small college with the opportunities of a large dynamic public university where students explore their intellectual potential and realize the promise in their futures.
Brack,Jaskey,Chief Technology Officer,MediaNet,Brack Jaskey was Appointed as Chief Technology Officer at MediaNet,Margate; FL-based MediaNet appointed Brack Jaskey as Chief Technology Officer.,Brack Jaskey has 20 years of experience in the technology industry and corporate environment. Mr. Jaskey holds a Juris Doctorate from University of Seattle Law School and practiced corporate law for five years before transitioning to the eCommerce industry where he successfully developed Search Engine Optimization and Internet marketing outsourcing solutions. ,MediaNet Group Technologies is a publicly held Company (OTCBB:MEDG) that encompasses an integrated group of operating divisions that revolve around the many aspects of technology and media including; branded rewards programs web portal programs; television and video production and intellectual properties.
Linda,Dillman,Senior Vice President of Global Information Techno,HP,Linda Dillman was Appointed as Senior Vice President of Global Information Techno at HP,Palo Alto; CA-based HP appointed Linda Dillman as Senior Vice President of Global Information Techno.,Linda Dillman was previously executive vice president of benefits and risk management for Wal-Mart Stores Inc.,HP is a technology company that operates in more than 170 countries around the world.
Michael,Smith,President,Forbes.com,Michael Smith was Appointed as President at Forbes.com,New York; NY-based Forbes.com appointed Michael Smith as President.,Michael Smith was previously chief information officer at TheStreet.com,Forbes is a privately held publishing and new media company.
Greg,Knight,Chief Technology Officer,CNL,Greg Knight was Appointed as Chief Technology Officer at CNL,Orlando; FL-based CNL appointed Greg Knight as Chief Technology Officer.,Greg draws on his 20 years of executive & leadership experience within the software industry; including IBM; Pearson and others; in Europe as well as North America. ,CNL Financial Group; Inc is a financial services company that focuses on real estate.
Deanna,Johnston,Chief Information Officer,Belkin,Deanna Johnston was Appointed as Chief Information Officer at Belkin,Compton; CA-based Belkin appointed Deanna Johnston as Chief Information Officer.,Deanna Johnston was previously the Vice President of Information Technology; North America for Ingram Micro.,Belkin offers an extensive range of innovations designed to give computer and consumer electronics users seamless integration in their homes; cars; and on the go.
Jeremy,Sterns,Chief Technology Officer,AdGenesis Digital,Jeremy Sterns was Appointed as Chief Technology Officer at AdGenesis Digital,New York; NY-based AdGenesis Digital appointed Jeremy Sterns as Chief Technology Officer.,Jeremy Stern was previously with Send Word Now (New York); the leading provider of on-demand alerting and response services for both emergency and routine communication where he had been CTO since March 2007.,AdGenesis is a video advertising platform that delivers branded content and video ads to a network of opt-in consumers who are aggregated through publishers and social networks that private label AdGenesis.
Edward,Dorris,Chief Information Officer,Office of the Comptroller of the Currency ; US Department of Treasury,Edward Dorris was Promoted to CIO at the US Department of Treasury,Washington; DC-based Office of the Comptroller of the Currency ; US Department of Treasury promoted Edward Dorris to Chief Information Officer.,Edward Dorris served as CIO for the Financial Crimes Enforcement Network and Deputy CIO for the Department of Housing and Urban Development.,The Department of the Treasury's mission highlights its role as the steward of U.S. economic and financial systems; and as an influential participant in the global economy.
Steven,ZoBell,Chief Technology Officer,UCN Inc.,Steven ZoBell was Appointed as Chief Technology Officer at UCN Inc.,Midvale; UT-based UCN Inc. appointed Steven ZoBell as Chief Technology Officer.,ZoBell was previously UCN's senior vice president of research & development.,UCN is a provider of on-demand contact handling application services and business long distance service delivered over its national VoIP network.
